reviews,subjects,ratings,titles
first excited see movie read page novel good decide watch movie direct cinematography amazing surprised watch movie think foreign film directing soundtrack like Khaled El Sawy performance perfect Karim Abdel Aziz performance good Nelly Karim decent like storyline much want know would explanation explanation not good lack lot detail important explanation not film novel enjoy film much believe directing film move egyptian cinema far away," Amazing cinematography and directing but ... !
",7,The Blue Elephant
AlPheel AlAzraq Blue Elephant film base bestselling novel Ahmed Mourad set premiere Egypt several arab countriesthe upcoming Eid AlFitr holiday follow end RamadanKarim AbdelAziz return big screen superstar film express satisfied production say not surprise Audience show excitement filmthe film hit bird one stone scenario keep almost longsmart dialog novel let character say reveal mask film keep exciting moment doctor return work psychiatric hospital several year death family throw section West murderer observation find old colleague accuse kill wife doctor love affair old colleague sister accuse doctor look secret behind crime plot show possibility accuse killer claim mental illness illness physician presence mysterious third party commit crime across body accuse killer mix not science ghostly film manage show character degree show crime mixture good amazing difficult choice writer film succeed show novel fantasy graphic scene film good since graphic enter egyptian cinema global company specialize carry world dream hallucination never imagine read novel see Kareem AbdulAziz play role Yahya Rashid difficult character real surprise role difficult opinion not depend apparent emotion convey time feeling fracture not heal life one single hope story old love Khaled El Sawy fantastic ambiguous double character human lead devil Nelly Karim performance quiet simple nonartificial thank Blue Elephant talented maker Mahmoud Abd El Shakour," Blue Elephant is not just an important novel or movie, it is a new start for the Egyptian cinema.
",9,The Blue Elephant
read book many time watch trailer dozen time finally watch much anticipate movie theaterthe movie masterpiece not amazing novel also complete answer lot mystic question mind readersThe cast amazing literally way visualize mind read novel music great well implement specially dream partCinematography first time see arabic movie though well know since movie like Sherlock HolmesA lot people wonder movie really deserve score IMDb answer compare arabic movie yes deserve although international basis movie could last whether read book not get bargaining," The movie the novel deserves
",9,The Blue Elephant
really love movie read novel year ago wait movie come think gon na get disappointed movie type movie never Egypt crew young one insure thing Ahmed mourad whose gon na write movie excellent really enjoy movie length movie perfect fill thriller make think gon na happened next take attention wanna listen every word focused really give example producer good script good story always succeed good movie last year Egypt," the best movie in Egypt in the last 4 years
",10,The Blue Elephant
film well make storyline good lot twist suspense psychiatrist yehiawork sector find criminal make ugly murder suffer Psychiatric Disease mental disease healthy decide judgment DR find old friend Sherif bring kill wife brutally try help find happen make find strange thing friend Sheriff Yehia later try drug call blue elephant take another dimension see thing hear thing close happen friend good point direction movie original story contain lot nudity director manage reach point almost nudity good brief sort movie make change judgment character lot get confused wonder right wrong movie awesome act sound effect graphic perfect give movie really worth watch," every single minute is worth watching
",8,The Blue Elephant
type genre nothing new american movie egyptian cinema quite surprise beginning film something see many film someone accuse murder check psychiatrist ironic thing doctor whose job treat mentally insane mess much patient even though doctor seem destroy everything touchesyou still feel hope leave happen hard explain see special filmit visually entertaining story end might strange might many question unanswered good film usually leave wonder like good cast amazing direction say film fine line real not make want cross line curiosity egyptian cinema back life film," Well Done
",8,The Blue Elephant
movie base good seller thriller fiction publish Egypt carry name Blue Elephant write writer pioneer thriller fiction Egypt last year good seller row Ahmed Mourad Marwan ham Director make another successful movie base another good seller book year ago Yaqoubian Building excess hype teaser marketing prior showdirecte style come across classy way good visual reflect dark atmosphere event yet slow motion close shot sound track climax abusedover use across movieSpoiler Story Script although story entertaining read unique writing style smart choice topic good research fact still lack build strong plotThe main character movie Dr Yahya psychiatrist decipher truth real killer devil haunt body Xcolleague take hallucination pill dmt link come WhyNo clear answer although storyline build good climax complexity Twist solution problem come simple black magic spell get body wife via tattoo itthe writer unique descriptive writing style got miss nature Novel transfer screenplay viewer leave event dialog plot weak element storyCinemagraphy colorful excellent except abuse slow motion close shot technique Actors performance Khaled El Sawi legend Karim AbdelAziz good nelly Karim performance flat totally orientationMusic great fit mysterious magical oriental contextit nice movie shape new genre mysterythriller movie egyptian cinema far classic," It s beginning of a new genre Egyptian Cinema but not a Master Piece!
",6,The Blue Elephant
Ahmed Mourad Blue Elephant novel hit Egypt arab world huge amount controversy among reader level knowledge culture interest swinge spread success criticism face due massive attraction many reader manage always headline people course every book store make big screenmarwan ham one Egypt fine director make good choice actor setting scene shooting seem nice smooth scene bit fair balance mainly go mostly goodall actor Kareem Nelly mostly form give good performance except Khaled El Sawy whose performance exceptionalThe character screen appear close author description shape behavior stylist must study understand character well enough apply success looksuntil movie go Good need sparkle make great movie accord standard egyptian arab cinema production drive step forward International standardsThe sparkle come VFX team dop great job reflect Mourad tough scene novel visual reality professional touch HamedSome side note dialogue shooting support character not ruin good work crewI always big objection story end may leave enjoy watch egyptian cinema production professionalism high standard not perfect like anything never yet big step forward applaud keep selfflagellation Pause," Self-flagellation on Pause!
",8,The Blue Elephant
good Film Karim good actor film Khaled Elsawiy Shrief Alkordy," The best film in year2014
",10,The Blue Elephant
beautiful movie ever see amazing," Amazing movie
",10,The Blue Elephant
