title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Schindler's List,1993),R,195," Biography, Drama, History            ",8.9,94        ,Steven Spielberg,"['Liam Neeson, ', 'Ralph Fiennes, ', 'Ben Kingsley, ', 'Caroline Goodall', '']",1222295,$96.90M
Goodfellas,1990),R,146," Biography, Crime, Drama            ",8.7,90        ,Martin Scorsese,"['Robert De Niro, ', 'Ray Liotta, ', 'Joe Pesci, ', 'Lorraine Bracco', '']",1030009,$46.84M
Hamilton,2020),PG-13,160," Biography, Drama, History            ",8.5,90        ,Thomas Kail,"['Lin-Manuel Miranda, ', 'Phillipa Soo, ', 'Leslie Odom Jr., ', 'Renée Elise Goldsberry', '']",59623,0
The Intouchables,2011),R,112," Biography, Comedy, Drama            ",8.5,0,"Olivier Nakache, ","['    Stars:', 'François Cluzet, ', 'Omar Sy, ', 'Anne Le Ny, ', 'Audrey Fleurot']",768181,$13.18M
The Pianist,2002),R,150," Biography, Drama, Music            ",8.5,85        ,Roman Polanski,"['Adrien Brody, ', 'Thomas Kretschmann, ', 'Frank Finlay, ', 'Emilia Fox', '']",737230,$32.57M
Ayla: The Daughter of War,2017),0,125," Biography, Drama, History            ",8.4,0,Can Ulkay,"['Çetin Tekindor, ', 'Ismail Hacioglu, ', 'Kyung-jin Lee, ', 'Kim Seol', '']",34676,0
Dangal,2016),Not Rated,161," Action, Biography, Drama            ",8.4,0,Nitesh Tiwari,"['Aamir Khan, ', 'Sakshi Tanwar, ', 'Fatima Sana Shaikh, ', 'Sanya Malhotra', '']",158856,$12.39M
Braveheart,1995),R,178," Biography, Drama, History            ",8.3,68        ,Mel Gibson,"['Mel Gibson, ', 'Sophie Marceau, ', 'Patrick McGoohan, ', 'Angus Macfadyen', '']",964788,$75.60M
Amadeus,1984),R,160," Biography, Drama, History            ",8.3,88        ,Milos Forman,"['F. Murray Abraham, ', 'Tom Hulce, ', 'Elizabeth Berridge, ', 'Roy Dotrice', '']",371428,$51.97M
Lawrence of Arabia,1962),Approved,228," Adventure, Biography, Drama            ",8.3,100        ,David Lean,"[""Peter O'Toole, "", 'Alec Guinness, ', 'Anthony Quinn, ', 'Jack Hawkins', '']",269998,$44.82M
Green Book,2018),PG-13,130," Biography, Comedy, Drama            ",8.2,69        ,Peter Farrelly,"['Viggo Mortensen, ', 'Mahershala Ali, ', 'Linda Cardellini, ', 'Sebastian Maniscalco', '']",388940,$85.08M
