title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Hababam Sinifi,1975),0,87," Comedy, Drama            ",9.3,0,Ertem Egilmez,"['Kemal Sunal, ', 'Münir Özkul, ', 'Halit Akçatepe, ', 'Tarik Akan', '']",37661,0
Parasite,2019),R,132," Comedy, Drama, Thriller            ",8.6,96        ,Bong Joon Ho,"['Kang-ho Song, ', 'Lee Sun-kyun, ', 'Cho Yeo-jeong, ', 'Choi Woo-sik', '']",575451,$53.37M
Life Is Beautiful,1997),PG-13,116," Comedy, Drama, Romance            ",8.6,0,Roberto Benigni,"['Roberto Benigni, ', 'Nicoletta Braschi, ', 'Giorgio Cantarini, ', 'Giustino Durano', '']",629051,$57.60M
The Intouchables,2011),R,112," Biography, Comedy, Drama            ",8.5,0,"Olivier Nakache, ","['    Stars:', 'François Cluzet, ', 'Omar Sy, ', 'Anne Le Ny, ', 'Audrey Fleurot']",768181,$13.18M
Back to the Future,1985),PG,116," Adventure, Comedy, Sci-Fi            ",8.5,87        ,Robert Zemeckis,"['Michael J. Fox, ', 'Christopher Lloyd, ', 'Lea Thompson, ', 'Crispin Glover', '']",1067193,$210.61M
Modern Times,1936),G,87," Comedy, Drama, Family            ",8.5,96        ,Charles Chaplin,"['Charles Chaplin, ', 'Paulette Goddard, ', 'Henry Bergman, ', 'Tiny Sandford', '']",219883,$0.16M
City Lights,1931),G,87," Comedy, Drama, Romance            ",8.5,99        ,Charles Chaplin,"['Charles Chaplin, ', 'Virginia Cherrill, ', 'Florence Lee, ', 'Harry Myers', '']",169242,$0.02M
3 Idiots,2009),PG-13,170," Comedy, Drama            ",8.4,67        ,Rajkumar Hirani,"['Aamir Khan, ', 'Madhavan, ', 'Mona Singh, ', 'Sharman Joshi', '']",347796,$6.53M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964),PG,95, Comedy            ,8.4,97        ,Stanley Kubrick,"['Peter Sellers, ', 'George C. Scott, ', 'Sterling Hayden, ', 'Keenan Wynn', '']",453510,$0.28M
The Great Dictator,1940),Passed,125," Comedy, Drama, War            ",8.4,0,Charles Chaplin,"['Charles Chaplin, ', 'Paulette Goddard, ', 'Jack Oakie, ', 'Reginald Gardiner', '']",204671,$0.29M
Amélie,2001),R,122," Comedy, Romance            ",8.3,69        ,Jean-Pierre Jeunet,"['Audrey Tautou, ', 'Mathieu Kassovitz, ', 'Rufus, ', 'Lorella Cravotta', '']",707847,$33.23M
Snatch,2000),R,102," Comedy, Crime            ",8.3,0,Guy Ritchie,"['Jason Statham, ', 'Brad Pitt, ', 'Benicio Del Toro, ', 'Dennis Farina', '']",787013,$30.33M
