title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Godfather,1972),R,175," Crime, Drama            ",9.2,100        ,Francis Ford Coppola,"['Marlon Brando, ', 'Al Pacino, ', 'James Caan, ', 'Diane Keaton', '']",1635352,$134.97M
The Dark Knight,2008),PG-13,152," Action, Crime, Drama            ",9.0,84        ,Christopher Nolan,"['Christian Bale, ', 'Heath Ledger, ', 'Aaron Eckhart, ', 'Michael Caine', '']",2321555,$534.86M
The Godfather: Part II,1974),R,202," Crime, Drama            ",9.0,90        ,Francis Ford Coppola,"['Al Pacino, ', 'Robert De Niro, ', 'Robert Duvall, ', 'Diane Keaton', '']",1139462,$57.30M
12 Angry Men,1957),Approved,96," Crime, Drama            ",9.0,96        ,Sidney Lumet,"['Henry Fonda, ', 'Lee J. Cobb, ', 'Martin Balsam, ', 'John Fiedler', '']",696801,$4.36M
Pulp Fiction,1994),R,154," Crime, Drama            ",8.9,94        ,Quentin Tarantino,"['John Travolta, ', 'Uma Thurman, ', 'Samuel L. Jackson, ', 'Bruce Willis', '']",1841047,$107.93M
Goodfellas,1990),R,146," Biography, Crime, Drama            ",8.7,90        ,Martin Scorsese,"['Robert De Niro, ', 'Ray Liotta, ', 'Joe Pesci, ', 'Lorraine Bracco', '']",1030009,$46.84M
City of God,2002),R,130," Crime, Drama            ",8.6,79        ,"Fernando Meirelles, ","['    Stars:', 'Alexandre Rodrigues, ', 'Leandro Firmino, ', 'Matheus Nachtergaele, ', 'Phellipe Haagensen']",703420,$7.56M
The Green Mile,1999),R,189," Crime, Drama, Fantasy            ",8.6,61        ,Frank Darabont,"['Tom Hanks, ', 'Michael Clarke Duncan, ', 'David Morse, ', 'Bonnie Hunt', '']",1158472,$136.80M
Se7en,1995),R,127," Crime, Drama, Mystery            ",8.6,65        ,David Fincher,"['Morgan Freeman, ', 'Brad Pitt, ', 'Kevin Spacey, ', 'Andrew Kevin Walker', '']",1458413,$100.13M
The Silence of the Lambs,1991),R,118," Crime, Drama, Thriller            ",8.6,85        ,Jonathan Demme,"['Jodie Foster, ', 'Anthony Hopkins, ', 'Lawrence A. Bonney, ', 'Kasi Lemmons', '']",1282609,$130.74M
Raatchasan,2018),Not Rated,170," Action, Crime, Thriller            ",8.5,0,Ram Kumar,"['Vishnu Vishal, ', 'Amala Paul, ', 'Radha Ravi, ', 'Sangili Murugan', '']",26123,0
The Departed,2006),R,151," Crime, Drama, Thriller            ",8.5,85        ,Martin Scorsese,"['Leonardo DiCaprio, ', 'Matt Damon, ', 'Jack Nicholson, ', 'Mark Wahlberg', '']",1199461,$132.38M
The Usual Suspects,1995),R,106," Crime, Mystery, Thriller            ",8.5,77        ,Bryan Singer,"['Kevin Spacey, ', 'Gabriel Byrne, ', 'Chazz Palminteri, ', 'Stephen Baldwin', '']",997968,$23.34M
Léon: The Professional,1994),R,110," Action, Crime, Drama            ",8.5,64        ,Luc Besson,"['Jean Reno, ', 'Gary Oldman, ', 'Natalie Portman, ', 'Danny Aiello', '']",1043939,$19.50M
Joker,2019),R,122," Crime, Drama, Thriller            ",8.4,0,Todd Phillips,"['Joaquin Phoenix, ', 'Robert De Niro, ', 'Zazie Beetz, ', 'Frances Conroy', '']",961948,$335.45M
Vikram Vedha,2017),Not Rated,147," Action, Crime, Drama            ",8.4,0,"Gayatri, ","['    Stars:', 'Madhavan, ', 'Vijay Sethupathi, ', 'Shraddha Srinath, ', 'Kathir']",29120,0
Drishyam,2013),Not Rated,160," Crime, Drama, Thriller            ",8.4,0,Jeethu Joseph,"['Mohanlal, ', 'Meena, ', 'Asha Sharath, ', 'Ansiba', '']",33527,0
Once Upon a Time in America,1984),R,229," Crime, Drama            ",8.4,0,Sergio Leone,"['Robert De Niro, ', 'James Woods, ', 'Elizabeth McGovern, ', 'Treat Williams', '']",314336,$5.32M
High and Low,1963),Not Rated,143," Crime, Drama, Mystery            ",8.4,0,Akira Kurosawa,"['Toshirô Mifune, ', 'Yutaka Sada, ', 'Tatsuya Nakadai, ', 'Kyôko Kagawa', '']",35322,0
Witness for the Prosecution,1957),Approved,116," Crime, Drama, Mystery            ",8.4,0,Billy Wilder,"['Tyrone Power, ', 'Marlene Dietrich, ', 'Charles Laughton, ', 'Elsa Lanchester', '']",110088,$8.18M
Andhadhun,2018),Not Rated,139," Crime, Drama, Music            ",8.3,0,Sriram Raghavan,"['Ayushmann Khurrana, ', 'Tabu, ', 'Radhika Apte, ', 'Anil Dhawan', '']",73464,$1.37M
