title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Spirited Away,2001),PG,125," Animation, Adventure, Family            ",8.6,96        ,Hayao Miyazaki,"['Daveigh Chase, ', 'Suzanne Pleshette, ', 'Miyu Irino, ', 'Rumi Hiiragi', '']",659229,$10.06M
It's a Wonderful Life,1946),PG,130," Drama, Family, Fantasy            ",8.6,89        ,Frank Capra,"['James Stewart, ', 'Donna Reed, ', 'Lionel Barrymore, ', 'Thomas Mitchell', '']",408765,0
The Lion King,1994),G,88," Animation, Adventure, Drama            ",8.5,88        ,"Roger Allers, ","['    Stars:', 'Matthew Broderick, ', 'Jeremy Irons, ', 'James Earl Jones, ', 'Whoopi Goldberg']",950026,$422.78M
Modern Times,1936),G,87," Comedy, Drama, Family            ",8.5,96        ,Charles Chaplin,"['Charles Chaplin, ', 'Paulette Goddard, ', 'Henry Bergman, ', 'Tiny Sandford', '']",219883,$0.16M
Spider-Man: Into the Spider-Verse,2018),PG,117," Animation, Action, Adventure            ",8.4,87        ,"Bob Persichetti, ","['| ', '    Stars:', 'Shameik Moore, ', 'Jake Johnson, ', 'Hailee Steinfeld, ']",384623,$190.24M
Coco,I) (2017),PG,105," Animation, Adventure, Family            ",8.4,81        ,"Lee Unkrich, ","['    Stars:', 'Anthony Gonzalez, ', 'Gael García Bernal, ', 'Benjamin Bratt, ', 'Alanna Ubach']",392925,$209.73M
Like Stars on Earth,2007),PG,165," Drama, Family            ",8.4,0,"Aamir Khan, ","['    Stars:', 'Darsheel Safary, ', 'Aamir Khan, ', 'Tisca Chopra, ', 'Vipin Sharma']",171029,$1.22M
WALL·E,2008),G,98," Animation, Adventure, Family            ",8.4,95        ,Andrew Stanton,"['Ben Burtt, ', 'Elissa Knight, ', 'Jeff Garlin, ', 'Fred Willard', '']",1007561,$223.81M
My Father and My Son,2005),0,112," Drama, Family            ",8.3,0,Çagan Irmak,"['Eser Sariyar, ', 'Çetin Tekindor, ', 'Fikret Kuskan, ', 'Hümeyra', '']",79738,0
Children of Heaven,1997),PG,89," Drama, Family, Sport            ",8.3,77        ,Majid Majidi,"['Mohammad Amir Naji, ', 'Amir Farrokh Hashemian, ', 'Bahare Seddiqi, ', 'Nafise Jafar-Mohammadi', '']",66165,$0.93M
Toy Story,1995),G,81," Animation, Adventure, Comedy            ",8.3,95        ,John Lasseter,"['Tom Hanks, ', 'Tim Allen, ', 'Don Rickles, ', 'Jim Varney', '']",894348,$191.80M
The Kid,1921),Passed,68," Comedy, Drama, Family            ",8.3,0,Charles Chaplin,"['Charles Chaplin, ', 'Edna Purviance, ', 'Jackie Coogan, ', 'Carl Miller', '']",114632,$5.45M
Klaus,2019),PG,96," Animation, Adventure, Comedy            ",8.2,65        ,"Sergio Pablos, ","['    Stars:', 'Jason Schwartzman, ', 'J.K. Simmons, ', 'Rashida Jones, ', 'Will Sasso']",108260,0
Up,2009),PG,96," Animation, Adventure, Comedy            ",8.2,88        ,"Pete Docter, ","['    Stars:', 'Edward Asner, ', 'Jordan Nagai, ', 'John Ratzenberger, ', 'Christopher Plummer']",942819,$293.00M
Chak De! India,2007),Not Rated,153," Drama, Family, Sport            ",8.2,68        ,Shimit Amin,"['Shah Rukh Khan, ', 'Vidya Malvade, ', 'Sagarika Ghatge, ', 'Shilpa Shukla', '']",74579,$1.11M
Toy Story 3,2010),G,103," Animation, Adventure, Comedy            ",8.2,92        ,Lee Unkrich,"['Tom Hanks, ', 'Tim Allen, ', 'Joan Cusack, ', 'Ned Beatty', '']",762232,$415.00M
Howl's Moving Castle,2004),PG,119," Animation, Adventure, Family            ",8.2,80        ,Hayao Miyazaki,"['Chieko Baishô, ', 'Takuya Kimura, ', 'Tatsuya Gashûin, ', 'Akihiro Miwa', '']",338473,$4.71M
My Neighbor Totoro,1988),G,86," Animation, Family, Fantasy            ",8.2,86        ,Hayao Miyazaki,"['Hitoshi Takagi, ', 'Noriko Hidaka, ', 'Chika Sakamoto, ', 'Shigesato Itoi', '']",295015,$1.11M
A Silent Voice: The Movie,2016),Not Rated,130," Animation, Drama, Family            ",8.1,78        ,Naoko Yamada,"['Miyu Irino, ', 'Saori Hayami, ', 'Aoi Yûki, ', 'Kenshô Ono', '']",50394,0
Soul,2020),PG,100," Animation, Adventure, Comedy            ",8.1,83        ,"Pete Docter, ","['    Stars:', 'Jamie Foxx, ', 'Tina Fey, ', 'Graham Norton, ', 'Rachel House']",199494,0
Inside Out,I) (2015),PG,95," Animation, Adventure, Comedy            ",8.1,94        ,"Pete Docter, ","['    Stars:', 'Amy Poehler, ', 'Bill Hader, ', 'Lewis Black, ', 'Mindy Kaling']",623223,$356.46M
Song of the Sea,2014),PG,93," Animation, Adventure, Drama            ",8.1,85        ,Tomm Moore,"['David Rawle, ', 'Brendan Gleeson, ', 'Lisa Hannigan, ', 'Fionnula Flanagan', '']",52444,$0.86M
Hachi: A Dog's Tale,2009),G,93," Biography, Drama, Family            ",8.1,0,Lasse Hallström,"['Richard Gere, ', 'Joan Allen, ', 'Cary-Hiroyuki Tagawa, ', 'Sarah Roemer', '']",255863,0
Mary and Max,2009),Not Rated,92," Animation, Comedy, Drama            ",8.1,0,Adam Elliot,"['Toni Collette, ', 'Philip Seymour Hoffman, ', 'Eric Bana, ', 'Barry Humphries', '']",165507,0
How to Train Your Dragon,2010),PG,98," Animation, Action, Adventure            ",8.1,75        ,"Dean DeBlois, ","['    Stars:', 'Jay Baruchel, ', 'Gerard Butler, ', 'Christopher Mintz-Plasse, ', 'Craig Ferguson']",671491,$217.58M
Finding Nemo,2003),G,100," Animation, Adventure, Comedy            ",8.1,90        ,"Andrew Stanton, ","['    Stars:', 'Albert Brooks, ', 'Ellen DeGeneres, ', 'Alexander Gould, ', 'Willem Dafoe']",955699,$380.84M
"Monsters, Inc.",2001),G,92," Animation, Adventure, Comedy            ",8.1,79        ,"Pete Docter, ","['| ', '    Stars:', 'Billy Crystal, ', 'John Goodman, ', 'Mary Gibbs, ']",821554,$289.92M
Togo,2019),PG,113," Adventure, Biography, Drama            ",8.0,69        ,Ericson Core,"['Willem Dafoe, ', 'Julianne Nicholson, ', 'Christopher Heyerdahl, ', 'Richard Dormer', '']",38941,0
Zootopia,2016),PG,108," Animation, Adventure, Comedy            ",8.0,78        ,"Byron Howard, ","['| ', '    Stars:', 'Ginnifer Goodwin, ', 'Jason Bateman, ', 'Idris Elba, ']",437996,$341.27M
The Tale of The Princess Kaguya,2013),PG,137," Animation, Adventure, Drama            ",8.0,89        ,Isao Takahata,"['Chloë Grace Moretz, ', 'James Caan, ', 'Mary Steenburgen, ', 'James Marsden', '']",39465,$1.51M
Wonder,I) (2017),PG,113," Drama, Family            ",8.0,66        ,Stephen Chbosky,"['Jacob Tremblay, ', 'Owen Wilson, ', 'Izabela Vidovic, ', 'Julia Roberts', '']",144376,$132.42M
Ratatouille,2007),G,111," Animation, Adventure, Comedy            ",8.0,96        ,"Brad Bird, ","['    Stars:', 'Brad Garrett, ', 'Lou Romano, ', 'Patton Oswalt, ', 'Ian Holm']",646831,$206.45M
The Incredibles,2004),PG,115," Animation, Action, Adventure            ",8.0,90        ,Brad Bird,"['Craig T. Nelson, ', 'Samuel L. Jackson, ', 'Holly Hunter, ', 'Jason Lee', '']",661100,$261.44M
The Iron Giant,1999),PG,86," Animation, Action, Adventure            ",8.0,85        ,Brad Bird,"['Eli Marienthal, ', 'Harry Connick Jr., ', 'Jennifer Aniston, ', 'Vin Diesel', '']",173220,$23.16M
The Nightmare Before Christmas,1993),PG,76," Animation, Family, Fantasy            ",8.0,82        ,Henry Selick,"['Danny Elfman, ', 'Chris Sarandon, ', ""Catherine O'Hara, "", 'William Hickey', '']",301661,$75.08M
