title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Lord of the Rings: The Return of the King,2003),PG-13,201," Action, Adventure, Drama            ",8.9,94        ,Peter Jackson,"['Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom', '']",1654477,$377.85M
The Lord of the Rings: The Fellowship of the Ring,2001),PG-13,178," Action, Adventure, Drama            ",8.8,92        ,Peter Jackson,"['Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean', '']",1674104,$315.54M
The Lord of the Rings: The Two Towers,2002),PG-13,179," Action, Adventure, Drama            ",8.7,87        ,Peter Jackson,"['Elijah Wood, ', 'Ian McKellen, ', 'Viggo Mortensen, ', 'Orlando Bloom', '']",1496227,$342.55M
Star Wars: Episode V - The Empire Strikes Back,1980),PG,124," Action, Adventure, Fantasy            ",8.7,82        ,Irvin Kershner,"['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams', '']",1167335,$290.48M
Spirited Away,2001),PG,125," Animation, Adventure, Family            ",8.6,96        ,Hayao Miyazaki,"['Daveigh Chase, ', 'Suzanne Pleshette, ', 'Miyu Irino, ', 'Rumi Hiiragi', '']",659235,$10.06M
The Green Mile,1999),R,189," Crime, Drama, Fantasy            ",8.6,61        ,Frank Darabont,"['Tom Hanks, ', 'Michael Clarke Duncan, ', 'David Morse, ', 'Bonnie Hunt', '']",1158481,$136.80M
Star Wars: Episode IV - A New Hope,1977),PG,121," Action, Adventure, Fantasy            ",8.6,90        ,George Lucas,"['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Alec Guinness', '']",1239451,$322.74M
It's a Wonderful Life,1946),PG,130," Drama, Family, Fantasy            ",8.6,89        ,Frank Capra,"['James Stewart, ', 'Donna Reed, ', 'Lionel Barrymore, ', 'Thomas Mitchell', '']",408768,0
Your Name.,2016),PG,106," Animation, Drama, Fantasy            ",8.4,79        ,Makoto Shinkai,"['Ryûnosuke Kamiki, ', 'Mone Kamishiraishi, ', 'Ryô Narita, ', 'Aoi Yûki', '']",200314,$5.02M
Coco,I) (2017),PG,105," Animation, Adventure, Family            ",8.4,81        ,"Lee Unkrich, ","['    Stars:', 'Anthony Gonzalez, ', 'Gael García Bernal, ', 'Benjamin Bratt, ', 'Alanna Ubach']",392932,$209.73M
Princess Mononoke,1997),PG-13,134," Animation, Action, Adventure            ",8.4,76        ,Hayao Miyazaki,"['Yôji Matsuda, ', 'Yuriko Ishida, ', 'Yûko Tanaka, ', 'Billy Crudup', '']",347110,$2.38M
