title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Psycho,1960),R,109," Horror, Mystery, Thriller            ",8.5,97        ,Alfred Hitchcock,"['Anthony Perkins, ', 'Janet Leigh, ', 'Vera Miles, ', 'John Gavin', '']",608946,$32.00M
The Shining,1980),R,146," Drama, Horror            ",8.4,66        ,Stanley Kubrick,"['Jack Nicholson, ', 'Shelley Duvall, ', 'Danny Lloyd, ', 'Scatman Crothers', '']",906126,$44.02M
Alien,1979),R,117," Horror, Sci-Fi            ",8.4,89        ,Ridley Scott,"['Sigourney Weaver, ', 'Tom Skerritt, ', 'John Hurt, ', 'Veronica Cartwright', '']",793836,$78.90M
Tumbbad,2018),Not Rated,104," Drama, Fantasy, Horror            ",8.3,0,"Rahi Anil Barve, ","['| ', '    Stars:', 'Sohum Shah, ', 'Jyoti Malshe, ', 'Anita Date, ']",28617,0
The Blue Elephant,2014),Not Rated,170," Drama, Horror, Mystery            ",8.1,0,Marwan Hamed,"['Karim Abdel Aziz, ', 'Khaled El-Sawi, ', 'Nelly Karim, ', 'Muhammad Mamdooh', '']",26770,0
The Thing,1982),R,109," Horror, Mystery, Sci-Fi            ",8.1,0,John Carpenter,"['Kurt Russell, ', 'Wilford Brimley, ', 'Keith David, ', 'Richard Masur', '']",374100,$13.78M
What Ever Happened to Baby Jane?,1962),Passed,134," Drama, Horror, Thriller            ",8.1,75        ,Robert Aldrich,"['Bette Davis, ', 'Joan Crawford, ', 'Victor Buono, ', 'Wesley Addy', '']",50472,$4.05M
The Cabinet of Dr. Caligari,1920),Not Rated,67," Fantasy, Horror, Mystery            ",8.1,0,Robert Wiene,"['Werner Krauss, ', 'Conrad Veidt, ', 'Friedrich Feher, ', 'Lil Dagover', '']",57890,0
The Exorcist,1973),R,122, Horror            ,8.0,81        ,William Friedkin,"['Ellen Burstyn, ', 'Max von Sydow, ', 'Linda Blair, ', 'Lee J. Cobb', '']",363924,$232.91M
Rosemary's Baby,1968),Approved,137," Drama, Horror            ",8.0,96        ,Roman Polanski,"['Mia Farrow, ', 'John Cassavetes, ', 'Ruth Gordon, ', 'Sidney Blackmer', '']",195595,0
Diabolique,1955),Not Rated,117," Crime, Drama, Horror            ",8.0,0,Henri-Georges Clouzot,"['Simone Signoret, ', 'Véra Clouzot, ', 'Paul Meurisse, ', 'Charles Vanel', '']",61790,0
Let the Right One In,2008),R,114," Crime, Drama, Fantasy            ",7.9,82        ,Tomas Alfredson,"['Kåre Hedebrant, ', 'Lina Leandersson, ', 'Per Ragnar, ', 'Henrik Dahl', '']",206369,$2.12M
Shaun of the Dead,2004),R,99," Comedy, Horror            ",7.9,76        ,Edgar Wright,"['Simon Pegg, ', 'Nick Frost, ', 'Kate Ashfield, ', 'Lucy Davis', '']",515020,$13.54M
Dawn of the Dead,1978),Unrated,127," Action, Adventure, Horror            ",7.9,71        ,George A. Romero,"['David Emge, ', 'Ken Foree, ', 'Scott H. Reiniger, ', 'Gaylen Ross', '']",111958,$5.10M
Night of the Living Dead,1968),Not Rated,96," Horror, Thriller            ",7.9,89        ,George A. Romero,"['Duane Jones, ', ""Judith O'Dea, "", 'Karl Hardman, ', 'Marilyn Eastman', '']",117224,$0.09M
King Kong,1933),Passed,100," Adventure, Horror, Sci-Fi            ",7.9,90        ,"Merian C. Cooper, ","['    Stars:', 'Fay Wray, ', 'Robert Armstrong, ', 'Bruce Cabot, ', 'Frank Reicher']",79528,$10.00M
