title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Whiplash,2014),R,106," Drama, Music            ",8.5,88        ,Damien Chazelle,"['Miles Teller, ', 'J.K. Simmons, ', 'Melissa Benoist, ', 'Paul Reiser', '']",725937,$13.09M
The Pianist,2002),R,150," Biography, Drama, Music            ",8.5,85        ,Roman Polanski,"['Adrien Brody, ', 'Thomas Kretschmann, ', 'Frank Finlay, ', 'Emilia Fox', '']",737230,$32.57M
Coco,I) (2017),PG,105," Animation, Adventure, Family            ",8.4,81        ,"Lee Unkrich, ","['    Stars:', 'Anthony Gonzalez, ', 'Gael García Bernal, ', 'Benjamin Bratt, ', 'Alanna Ubach']",392925,$209.73M
Andhadhun,2018),Not Rated,139," Crime, Drama, Music            ",8.3,0,Sriram Raghavan,"['Ayushmann Khurrana, ', 'Tabu, ', 'Radhika Apte, ', 'Anil Dhawan', '']",73464,$1.37M
Amadeus,1984),R,160," Biography, Drama, History            ",8.3,88        ,Milos Forman,"['F. Murray Abraham, ', 'Tom Hulce, ', 'Elizabeth Berridge, ', 'Roy Dotrice', '']",371428,$51.97M
Green Book,2018),PG-13,130," Biography, Comedy, Drama            ",8.2,69        ,Peter Farrelly,"['Viggo Mortensen, ', 'Mahershala Ali, ', 'Linda Cardellini, ', 'Sebastian Maniscalco', '']",388940,$85.08M
Autumn Sonata,1978),PG,99," Drama, Music            ",8.2,0,Ingmar Bergman,"['Ingrid Bergman, ', 'Liv Ullmann, ', 'Lena Nyman, ', 'Halvar Björk', '']",27716,0
Some Like It Hot,1959),Passed,121," Comedy, Music, Romance            ",8.2,98        ,Billy Wilder,"['Marilyn Monroe, ', 'Tony Curtis, ', 'Jack Lemmon, ', 'George Raft', '']",245703,$25.00M
Soul,2020),PG,100," Animation, Adventure, Comedy            ",8.1,83        ,"Pete Docter, ","['    Stars:', 'Jamie Foxx, ', 'Tina Fey, ', 'Graham Norton, ', 'Rachel House']",199494,0
Departures,2008),PG-13,130," Drama, Music            ",8.1,68        ,Yôjirô Takita,"['Masahiro Motoki, ', 'Ryôko Hirosue, ', 'Tsutomu Yamazaki, ', 'Kazuko Yoshiyuki', '']",48876,$1.50M
The Legend of 1900,1998),R,169," Drama, Music, Romance            ",8.1,0,Giuseppe Tornatore,"['Tim Roth, ', 'Pruitt Taylor Vince, ', 'Mélanie Thierry, ', 'Bill Nunn', '']",59433,$0.26M
Farewell My Concubine,1993),R,171," Drama, Music, Romance            ",8.1,0,Kaige Chen,"['Leslie Cheung, ', 'Fengyi Zhang, ', 'Li Gong, ', 'You Ge', '']",25329,$5.22M
Pink Floyd: The Wall,1982),R,95," Drama, Fantasy, Music            ",8.1,0,Alan Parker,"['Bob Geldof, ', 'Christine Hargreaves, ', 'James Laurenson, ', 'Eleanor David', '']",76460,$22.24M
The Red Shoes,1948),Not Rated,135," Drama, Music, Romance            ",8.1,0,"Michael Powell, ","['    Stars:', 'Anton Walbrook, ', 'Marius Goring, ', 'Moira Shearer, ', 'Robert Helpmann']",31298,$10.90M
La La Land,2016),PG-13,128," Comedy, Drama, Music            ",8.0,94        ,Damien Chazelle,"['Ryan Gosling, ', 'Emma Stone, ', 'Rosemarie DeWitt, ', 'J.K. Simmons', '']",511748,$151.10M
Gully Boy,2019),Not Rated,154," Drama, Music, Romance            ",8.0,65        ,Zoya Akhtar,"['Vijay Varma, ', 'Nakul Roshan Sahdev, ', 'Ranveer Singh, ', 'Vijay Raaz', '']",32349,$5.57M
Bohemian Rhapsody,2018),PG-13,134," Biography, Drama, Music            ",8.0,0,Bryan Singer,"['Rami Malek, ', 'Lucy Boynton, ', 'Gwilym Lee, ', 'Ben Hardy', '']",457894,$216.43M
Sing Street,2016),PG-13,106," Comedy, Drama, Music            ",7.9,79        ,John Carney,"['Ferdia Walsh-Peelo, ', 'Aidan Gillen, ', 'Maria Doyle Kennedy, ', 'Jack Reynor', '']",85859,$3.24M
The Chorus,2004),PG-13,97," Comedy, Drama, Music            ",7.9,0,Christophe Barratier,"['Gérard Jugnot, ', 'François Berléand, ', 'Jean-Baptiste Maunier, ', 'Kad Merad', '']",57773,$3.64M
Almost Famous,2000),R,122," Adventure, Comedy, Drama            ",7.9,90        ,Cameron Crowe,"['Billy Crudup, ', 'Patrick Fugit, ', 'Kate Hudson, ', 'Frances McDormand', '']",254299,$32.53M
Whisper of the Heart,1995),G,111," Animation, Drama, Family            ",7.9,75        ,Yoshifumi Kondô,"['Yoko Honna, ', 'Issey Takahashi, ', 'Takashi Tachibana, ', 'Shigeru Muroi', '']",52926,0
Three Colors: Blue,1993),R,94," Drama, Music, Mystery            ",7.9,85        ,Krzysztof Kieslowski,"['Juliette Binoche, ', 'Zbigniew Zamachowski, ', 'Julie Delpy, ', 'Benoît Régent', '']",90997,$1.32M
This Is Spinal Tap,1984),R,82," Comedy, Music            ",7.9,92        ,Rob Reiner,"['Rob Reiner, ', 'Michael McKean, ', 'Christopher Guest, ', 'Kimberly Stringer', '']",129665,$0.19M
The Blues Brothers,1980),R,133," Action, Adventure, Comedy            ",7.9,0,John Landis,"['John Belushi, ', 'Dan Aykroyd, ', 'Cab Calloway, ', 'John Candy', '']",184408,$57.23M
All That Jazz,1979),R,123," Drama, Music, Musical            ",7.9,72        ,Bob Fosse,"['Roy Scheider, ', 'Jessica Lange, ', 'Ann Reinking, ', 'Leland Palmer', '']",28459,$37.82M
A Night at the Opera,1935),Passed,96," Comedy, Music, Musical            ",7.9,0,"Sam Wood, ","['    Stars:', 'Groucho Marx, ', 'Chico Marx, ', 'Harpo Marx, ', 'Kitty Carlisle']",30721,$2.54M
Sound of Metal,2019),R,120," Drama, Music            ",7.8,82        ,Darius Marder,"['Riz Ahmed, ', 'Olivia Cooke, ', 'Paul Raci, ', 'Lauren Ridloff', '']",40140,0
Straight Outta Compton,2015),R,147," Biography, Drama, History            ",7.8,72        ,F. Gary Gray,"[""O'Shea Jackson Jr., "", 'Corey Hawkins, ', 'Jason Mitchell, ', 'Neil Brown Jr.', '']",180311,$161.20M
Once,I) (2007),R,86," Drama, Music, Romance            ",7.8,88        ,John Carney,"['Glen Hansard, ', 'Markéta Irglová, ', 'Hugh Walsh, ', 'Gerard Hendrick', '']",111150,$9.44M
Walk the Line,2005),PG-13,136," Biography, Drama, Music            ",7.8,72        ,James Mangold,"['Joaquin Phoenix, ', 'Reese Witherspoon, ', 'Ginnifer Goodwin, ', 'Robert Patrick', '']",235537,$119.52M
The Double Life of Véronique,1991),R,98," Drama, Fantasy, Music            ",7.8,86        ,Krzysztof Kieslowski,"['Irène Jacob, ', 'Wladyslaw Kowalski, ', 'Halina Gryglaszewska, ', 'Kalina Jedrusik', '']",42994,$2.00M
Cabaret,1972),PG,124," Drama, Music, Musical            ",7.8,80        ,Bob Fosse,"['Liza Minnelli, ', 'Michael York, ', 'Helmut Griem, ', 'Joel Grey', '']",48657,$42.77M
