title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Hamilton,2020),PG-13,160," Biography, Drama, History            ",8.5,90        ,Thomas Kail,"['Lin-Manuel Miranda, ', 'Phillipa Soo, ', 'Leslie Odom Jr., ', 'Renée Elise Goldsberry', '']",59630,0
The Lion King,1994),G,88," Animation, Adventure, Drama            ",8.5,88        ,"Roger Allers, ","['    Stars:', 'Matthew Broderick, ', 'Jeremy Irons, ', 'James Earl Jones, ', 'Whoopi Goldberg']",950031,$422.78M
Anand,1971),Not Rated,122," Drama, Musical            ",8.3,0,Hrishikesh Mukherjee,"['Rajesh Khanna, ', 'Amitabh Bachchan, ', 'Sumita Sanyal, ', 'Ramesh Deo', '']",30761,0
Singin' in the Rain,1952),G,103," Comedy, Musical, Romance            ",8.3,99        ,"Stanley Donen, ","['    Stars:', 'Gene Kelly, ', ""Donald O'Connor, "", 'Debbie Reynolds, ', 'Jean Hagen']",220753,$8.82M
Sholay,1975),Not Rated,162," Action, Adventure, Comedy            ",8.2,0,Ramesh Sippy,"['Sanjeev Kumar, ', 'Dharmendra, ', 'Amitabh Bachchan, ', 'Amjad Khan', '']",51552,0
PK,2014),Not Rated,153," Comedy, Drama, Musical            ",8.1,0,Rajkumar Hirani,"['Aamir Khan, ', 'Anushka Sharma, ', 'Sanjay Dutt, ', 'Boman Irani', '']",164402,$10.62M
Lagaan: Once Upon a Time in India,2001),PG,224," Drama, Musical, Sport            ",8.1,84        ,Ashutosh Gowariker,"['Aamir Khan, ', 'Raghuvir Yadav, ', 'Gracy Singh, ', 'Rachel Shelley', '']",105651,$0.07M
La La Land,2016),PG-13,128," Comedy, Drama, Music            ",8.0,94        ,Damien Chazelle,"['Ryan Gosling, ', 'Emma Stone, ', 'Rosemarie DeWitt, ', 'J.K. Simmons', '']",511752,$151.10M
Baahubali: The Beginning,2015),Not Rated,159," Action, Adventure, Drama            ",8.0,0,S.S. Rajamouli,"['Prabhas, ', 'Rana Daggubati, ', 'Ramya Krishnan, ', 'Sathyaraj', '']",103724,$6.74M
Dancer in the Dark,2000),R,140," Crime, Drama, Musical            ",8.0,61        ,Lars von Trier,"['Björk, ', 'Catherine Deneuve, ', 'David Morse, ', 'Peter Stormare', '']",102931,$4.18M
The Nightmare Before Christmas,1993),PG,76," Animation, Family, Fantasy            ",8.0,82        ,Henry Selick,"['Danny Elfman, ', 'Chris Sarandon, ', ""Catherine O'Hara, "", 'William Hickey', '']",301664,$75.08M
Aladdin,1992),G,90," Animation, Adventure, Comedy            ",8.0,86        ,"Ron Clements, ","['    Stars:', 'Scott Weinger, ', 'Robin Williams, ', 'Linda Larkin, ', 'Jonathan Freeman']",375976,$217.35M
Beauty and the Beast,1991),G,84," Animation, Family, Fantasy            ",8.0,95        ,"Gary Trousdale, ","['    Stars:', ""Paige O'Hara, "", 'Robby Benson, ', 'Jesse Corti, ', 'Rex Everhart']",419003,$218.97M
Fiddler on the Roof,1971),G,181," Drama, Family, Musical            ",8.0,67        ,Norman Jewison,"['Topol, ', 'Norma Crane, ', 'Leonard Frey, ', 'Molly Picon', '']",39771,$80.50M
The Sound of Music,1965),G,172," Biography, Drama, Family            ",8.0,63        ,Robert Wise,"['Julie Andrews, ', 'Christopher Plummer, ', 'Eleanor Parker, ', 'Richard Haydn', '']",208549,$163.21M
The Wizard of Oz,1939),PG,102," Adventure, Family, Fantasy            ",8.0,92        ,"Victor Fleming, ","['Norman Taurog, ', 'Richard Thorpe, ', 'King Vidor', '| ', '    Stars:']",372569,$2.08M
Kal Ho Naa Ho,2003),Not Rated,186," Comedy, Drama, Musical            ",7.9,0,Nikkhil Advani,"['Preity Zinta, ', 'Shah Rukh Khan, ', 'Saif Ali Khan, ', 'Jaya Bachchan', '']",63784,$1.79M
The Blues Brothers,1980),R,133," Action, Adventure, Comedy            ",7.9,0,John Landis,"['John Belushi, ', 'Dan Aykroyd, ', 'Cab Calloway, ', 'John Candy', '']",184411,$57.23M
All That Jazz,1979),R,123," Drama, Music, Musical            ",7.9,72        ,Bob Fosse,"['Roy Scheider, ', 'Jessica Lange, ', 'Ann Reinking, ', 'Leland Palmer', '']",28460,$37.82M
A Night at the Opera,1935),Passed,96," Comedy, Music, Musical            ",7.9,0,"Sam Wood, ","['    Stars:', 'Groucho Marx, ', 'Chico Marx, ', 'Harpo Marx, ', 'Kitty Carlisle']",30721,$2.54M
Veer-Zaara,2004),Not Rated,192," Drama, Family, Musical            ",7.8,67        ,Yash Chopra,"['Shah Rukh Khan, ', 'Preity Zinta, ', 'Rani Mukerji, ', 'Kirron Kher', '']",49363,$2.92M
Cabaret,1972),PG,124," Drama, Music, Musical            ",7.8,80        ,Bob Fosse,"['Liza Minnelli, ', 'Michael York, ', 'Helmut Griem, ', 'Joel Grey', '']",48658,$42.77M
Willy Wonka & the Chocolate Factory,1971),G,100," Family, Fantasy, Musical            ",7.8,67        ,Mel Stuart,"['Gene Wilder, ', 'Jack Albertson, ', 'Peter Ostrum, ', 'Roy Kinnear', '']",179857,$4.00M
My Fair Lady,1964),G,170," Drama, Family, Musical            ",7.8,95        ,George Cukor,"['Audrey Hepburn, ', 'Rex Harrison, ', 'Stanley Holloway, ', 'Wilfrid Hyde-White', '']",87069,$72.00M
Mary Poppins,1964),G,139," Comedy, Family, Fantasy            ",7.8,88        ,Robert Stevenson,"['Julie Andrews, ', 'Dick Van Dyke, ', 'David Tomlinson, ', 'Glynis Johns', '']",158968,$102.27M
Duck Soup,1933),Not Rated,69," Comedy, Musical, War            ",7.8,93        ,Leo McCarey,"['Groucho Marx, ', 'Harpo Marx, ', 'Chico Marx, ', 'Zeppo Marx', '']",55801,0
Rockstar,2011),Not Rated,159," Drama, Music, Musical            ",7.7,0,Imtiaz Ali,"['Ranbir Kapoor, ', 'Nargis Fakhri, ', 'Shammi Kapoor, ', 'Kumud Mishra', '']",39773,$0.99M
Tangled,2010),PG,100," Animation, Adventure, Comedy            ",7.7,71        ,"Nathan Greno, ","['    Stars:', 'Mandy Moore, ', 'Zachary Levi, ', 'Donna Murphy, ', 'Ron Perlman']",408692,$200.82M
Hedwig and the Angry Inch,2001),R,95," Comedy, Drama, Music            ",7.7,85        ,John Cameron Mitchell,"['John Cameron Mitchell, ', 'Miriam Shor, ', 'Stephen Trask, ', 'Theodore Liscinski', '']",32093,$3.03M
"South Park: Bigger, Longer & Uncut",1999),R,81," Animation, Comedy, Fantasy            ",7.7,73        ,Trey Parker,"['Trey Parker, ', 'Matt Stone, ', 'Mary Kay Bergman, ', 'Isaac Hayes', '']",192746,$52.04M
Baazigar,1993),Not Rated,175," Crime, Drama, Musical            ",7.7,0,"Abbas Alibhai Burmawalla, ","['    Stars:', 'Shah Rukh Khan, ', 'Kajol, ', 'Dalip Tahil, ', 'Rakhee Gulzar']",26060,0
