title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Spirited Away,2001),PG,125," Animation, Adventure, Family            ",8.6,96        ,Hayao Miyazaki,"['Daveigh Chase, ', 'Suzanne Pleshette, ', 'Miyu Irino, ', 'Rumi Hiiragi', '']",659235,$10.06M
The Green Mile,1999),R,189," Crime, Drama, Fantasy            ",8.6,61        ,Frank Darabont,"['Tom Hanks, ', 'Michael Clarke Duncan, ', 'David Morse, ', 'Bonnie Hunt', '']",1158481,$136.80M
Se7en,1995),R,127," Crime, Drama, Mystery            ",8.6,65        ,David Fincher,"['Morgan Freeman, ', 'Brad Pitt, ', 'Kevin Spacey, ', 'Andrew Kevin Walker', '']",1458426,$100.13M
Hara-Kiri,1962),Not Rated,133," Action, Drama, Mystery            ",8.6,85        ,Masaki Kobayashi,"['Tatsuya Nakadai, ', 'Akira Ishihama, ', 'Shima Iwashita, ', 'Tetsurô Tanba', '']",43246,0
The Prestige,2006),PG-13,130," Drama, Mystery, Sci-Fi            ",8.5,66        ,Christopher Nolan,"['Christian Bale, ', 'Hugh Jackman, ', 'Scarlett Johansson, ', 'Michael Caine', '']",1200476,$53.09M
The Usual Suspects,1995),R,106," Crime, Mystery, Thriller            ",8.5,77        ,Bryan Singer,"['Kevin Spacey, ', 'Gabriel Byrne, ', 'Chazz Palminteri, ', 'Stephen Baldwin', '']",997972,$23.34M
Psycho,1960),R,109," Horror, Mystery, Thriller            ",8.5,97        ,Alfred Hitchcock,"['Anthony Perkins, ', 'Janet Leigh, ', 'Vera Miles, ', 'John Gavin', '']",608946,$32.00M
Coco,I) (2017),PG,105," Animation, Adventure, Family            ",8.4,81        ,"Lee Unkrich, ","['    Stars:', 'Anthony Gonzalez, ', 'Gael García Bernal, ', 'Benjamin Bratt, ', 'Alanna Ubach']",392932,$209.73M
The Lives of Others,2006),R,137," Drama, Mystery, Thriller            ",8.4,89        ,Florian Henckel von Donnersmarck,"['Ulrich Mühe, ', 'Martina Gedeck, ', 'Sebastian Koch, ', 'Ulrich Tukur', '']",361559,$11.29M
Oldboy,2003),R,120," Action, Drama, Mystery            ",8.4,77        ,Chan-wook Park,"['Choi Min-sik, ', 'Yoo Ji-Tae, ', 'Kang Hye-jeong, ', 'Kim Byeong-Ok', '']",520020,$0.71M
Memento,2000),R,113," Mystery, Thriller            ",8.4,80        ,Christopher Nolan,"['Guy Pearce, ', 'Carrie-Anne Moss, ', 'Joe Pantoliano, ', 'Mark Boone Junior', '']",1133403,$25.54M
Apocalypse Now,1979),R,147," Drama, Mystery, War            ",8.4,94        ,Francis Ford Coppola,"['Martin Sheen, ', 'Marlon Brando, ', 'Robert Duvall, ', 'Frederic Forrest', '']",611004,$83.47M
High and Low,1963),Not Rated,143," Crime, Drama, Mystery            ",8.4,0,Akira Kurosawa,"['Toshirô Mifune, ', 'Yutaka Sada, ', 'Tatsuya Nakadai, ', 'Kyôko Kagawa', '']",35322,0
Witness for the Prosecution,1957),Approved,116," Crime, Drama, Mystery            ",8.4,0,Billy Wilder,"['Tyrone Power, ', 'Marlene Dietrich, ', 'Charles Laughton, ', 'Elsa Lanchester', '']",110089,$8.18M
Rear Window,1954),PG,112," Mystery, Thriller            ",8.4,100        ,Alfred Hitchcock,"['James Stewart, ', 'Grace Kelly, ', 'Wendell Corey, ', 'Thelma Ritter', '']",447309,$36.76M
Andhadhun,2018),Not Rated,139," Crime, Drama, Music            ",8.3,0,Sriram Raghavan,"['Ayushmann Khurrana, ', 'Tabu, ', 'Radhika Apte, ', 'Anil Dhawan', '']",73465,$1.37M
Incendies,2010),R,131," Drama, Mystery, War            ",8.3,80        ,Denis Villeneuve,"['Lubna Azabal, ', 'Mélissa Désormeaux-Poulin, ', 'Maxim Gaudette, ', 'Mustafa Kamel', '']",152272,$6.86M
North by Northwest,1959),Approved,136," Adventure, Mystery, Thriller            ",8.3,98        ,Alfred Hitchcock,"['Cary Grant, ', 'Eva Marie Saint, ', 'James Mason, ', 'Jessie Royce Landis', '']",301176,$13.28M
Vertigo,1958),PG,128," Mystery, Romance, Thriller            ",8.3,100        ,Alfred Hitchcock,"['James Stewart, ', 'Kim Novak, ', 'Barbara Bel Geddes, ', 'Tom Helmore', '']",367312,$3.20M
Double Indemnity,1944),Passed,107," Crime, Drama, Film-Noir            ",8.3,95        ,Billy Wilder,"['Fred MacMurray, ', 'Barbara Stanwyck, ', 'Edward G. Robinson, ', 'Byron Barr', '']",144687,$5.72M
Citizen Kane,1941),PG,119," Drama, Mystery            ",8.3,100        ,Orson Welles,"['Orson Welles, ', 'Joseph Cotten, ', 'Dorothy Comingore, ', 'Agnes Moorehead', '']",406887,$1.59M
M,1931),Passed,99," Crime, Mystery, Thriller            ",8.3,0,Fritz Lang,"['Peter Lorre, ', 'Ellen Widmann, ', 'Inge Landgut, ', 'Otto Wernicke', '']",144641,$0.03M
Talvar,2015),Not Rated,132," Crime, Drama, Mystery            ",8.2,0,Meghna Gulzar,"['Irrfan Khan, ', 'Konkona Sen Sharma, ', 'Neeraj Kabi, ', 'Sohum Shah', '']",31393,$0.34M
Drishyam,2015),Not Rated,163," Crime, Drama, Mystery            ",8.2,0,Nishikant Kamat,"['Ajay Devgn, ', 'Shriya Saran, ', 'Tabu, ', 'Rajat Kapoor', '']",71792,$0.74M
The Secret in Their Eyes,2009),R,129," Drama, Mystery, Romance            ",8.2,80        ,Juan José Campanella,"['Ricardo Darín, ', 'Soledad Villamil, ', 'Pablo Rago, ', 'Carla Quevedo', '']",194765,$6.39M
Shutter Island,2010),R,138," Mystery, Thriller            ",8.2,63        ,Martin Scorsese,"['Leonardo DiCaprio, ', 'Emily Mortimer, ', 'Mark Ruffalo, ', 'Ben Kingsley', '']",1142487,$128.01M
