title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Forrest Gump,1994),PG-13,142," Drama, Romance            ",8.8,82        ,Robert Zemeckis,"['Tom Hanks, ', 'Robin Wright, ', 'Gary Sinise, ', 'Sally Field', '']",1826000,$330.25M
Life Is Beautiful,1997),PG-13,116," Comedy, Drama, Romance            ",8.6,0,Roberto Benigni,"['Roberto Benigni, ', 'Nicoletta Braschi, ', 'Giorgio Cantarini, ', 'Giustino Durano', '']",629055,$57.60M
Cinema Paradiso,1988),R,155," Drama, Romance            ",8.5,80        ,Giuseppe Tornatore,"['Philippe Noiret, ', 'Enzo Cannavale, ', 'Antonella Attili, ', 'Isa Danieli', '']",233081,$11.99M
Casablanca,1942),PG,102," Drama, Romance, War            ",8.5,100        ,Michael Curtiz,"['Humphrey Bogart, ', 'Ingrid Bergman, ', 'Paul Henreid, ', 'Claude Rains', '']",525760,$1.02M
Modern Times,1936),G,87," Comedy, Drama, Family            ",8.5,96        ,Charles Chaplin,"['Charles Chaplin, ', 'Paulette Goddard, ', 'Henry Bergman, ', 'Tiny Sandford', '']",219884,$0.16M
City Lights,1931),G,87," Comedy, Drama, Romance            ",8.5,99        ,Charles Chaplin,"['Charles Chaplin, ', 'Virginia Cherrill, ', 'Florence Lee, ', 'Harry Myers', '']",169242,$0.02M
Your Name.,2016),PG,106," Animation, Drama, Fantasy            ",8.4,79        ,Makoto Shinkai,"['Ryûnosuke Kamiki, ', 'Mone Kamishiraishi, ', 'Ryô Narita, ', 'Aoi Yûki', '']",200314,$5.02M
WALL·E,2008),G,98," Animation, Adventure, Family            ",8.4,95        ,Andrew Stanton,"['Ben Burtt, ', 'Elissa Knight, ', 'Jeff Garlin, ', 'Fred Willard', '']",1007565,$223.81M
Eternal Sunshine of the Spotless Mind,2004),R,108," Drama, Romance, Sci-Fi            ",8.3,89        ,Michel Gondry,"['Jim Carrey, ', 'Kate Winslet, ', 'Tom Wilkinson, ', 'Gerry Robert Byrne', '']",917947,$34.40M
Amélie,2001),R,122," Comedy, Romance            ",8.3,69        ,Jean-Pierre Jeunet,"['Audrey Tautou, ', 'Mathieu Kassovitz, ', 'Rufus, ', 'Lorella Cravotta', '']",707853,$33.23M
