title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Dangal,2016),Not Rated,161," Action, Biography, Drama            ",8.4,0,Nitesh Tiwari,"['Aamir Khan, ', 'Sakshi Tanwar, ', 'Fatima Sana Shaikh, ', 'Sanya Malhotra', '']",158857,$12.39M
Children of Heaven,1997),PG,89," Drama, Family, Sport            ",8.3,77        ,Majid Majidi,"['Mohammad Amir Naji, ', 'Amir Farrokh Hashemian, ', 'Bahare Seddiqi, ', 'Nafise Jafar-Mohammadi', '']",66165,$0.93M
Bhaag Milkha Bhaag,2013),Not Rated,186," Biography, Drama, Sport            ",8.2,0,Rakeysh Omprakash Mehra,"['Farhan Akhtar, ', 'Sonam Kapoor, ', 'Pawan Malhotra, ', 'Art Malik', '']",61452,$1.63M
Paan Singh Tomar,2012),Not Rated,135," Action, Biography, Crime            ",8.2,0,Tigmanshu Dhulia,"['Irrfan Khan, ', 'Mahie Gill, ', 'Rajesh Abhay, ', 'Hemendra Dandotiya', '']",33401,$0.04M
Warrior,2011),PG-13,140," Action, Drama, Sport            ",8.2,71        ,Gavin O'Connor,"['Tom Hardy, ', 'Nick Nolte, ', 'Joel Edgerton, ', 'Jennifer Morrison', '']",438677,$13.66M
Chak De! India,2007),Not Rated,153," Drama, Family, Sport            ",8.2,68        ,Shimit Amin,"['Shah Rukh Khan, ', 'Vidya Malvade, ', 'Sagarika Ghatge, ', 'Shilpa Shukla', '']",74580,$1.11M
Raging Bull,1980),R,129," Biography, Drama, Sport            ",8.2,89        ,Martin Scorsese,"['Robert De Niro, ', 'Cathy Moriarty, ', 'Joe Pesci, ', 'Frank Vincent', '']",324165,$23.38M
Rush,I) (2013),R,123," Action, Biography, Drama            ",8.1,74        ,Ron Howard,"['Daniel Brühl, ', 'Chris Hemsworth, ', 'Olivia Wilde, ', 'Alexandra Maria Lara', '']",435780,$26.95M
Ford v Ferrari,2019),PG-13,152," Action, Biography, Drama            ",8.1,81        ,James Mangold,"['Matt Damon, ', 'Christian Bale, ', 'Jon Bernthal, ', 'Caitriona Balfe', '']",300260,$117.62M
Million Dollar Baby,2004),PG-13,132," Drama, Sport            ",8.1,86        ,Clint Eastwood,"['Hilary Swank, ', 'Clint Eastwood, ', 'Morgan Freeman, ', 'Jay Baruchel', '']",640051,$100.49M
Lagaan: Once Upon a Time in India,2001),PG,224," Drama, Musical, Sport            ",8.1,84        ,Ashutosh Gowariker,"['Aamir Khan, ', 'Raghuvir Yadav, ', 'Gracy Singh, ', 'Rachel Shelley', '']",105651,$0.07M
The Big Lebowski,1998),R,117," Comedy, Crime, Sport            ",8.1,71        ,"Joel Coen, ","['    Stars:', 'Jeff Bridges, ', 'John Goodman, ', 'Julianne Moore, ', 'Steve Buscemi']",737383,$17.50M
Rocky,1976),PG,120," Drama, Sport            ",8.1,70        ,John G. Avildsen,"['Sylvester Stallone, ', 'Talia Shire, ', 'Burt Young, ', 'Carl Weathers', '']",522408,$117.24M
Cinderella Man,2005),PG-13,144," Biography, Drama, History            ",8.0,69        ,Ron Howard,"['Russell Crowe, ', 'Renée Zellweger, ', 'Craig Bierko, ', 'Paul Giamatti', '']",177056,$61.65M
The Hustler,1961),Not Rated,134," Drama, Sport            ",8.0,90        ,Robert Rossen,"['Paul Newman, ', 'Jackie Gleason, ', 'Piper Laurie, ', 'George C. Scott', '']",75380,$8.28M
The Wrestler,2008),R,109," Drama, Sport            ",7.9,80        ,Darren Aronofsky,"['Mickey Rourke, ', 'Marisa Tomei, ', 'Evan Rachel Wood, ', 'Mark Margolis', '']",290531,$26.24M
M.S. Dhoni: The Untold Story,2016),Not Rated,184," Biography, Drama, Sport            ",7.8,0,Neeraj Pandey,"['Sushant Singh Rajput, ', 'Kiara Advani, ', 'Anupam Kher, ', 'Disha Patani', '']",40875,$1.78M
The Fighter,I) (2010),R,116," Biography, Drama, Sport            ",7.8,79        ,David O. Russell,"['Mark Wahlberg, ', 'Christian Bale, ', 'Amy Adams, ', 'Melissa Leo', '']",342873,$93.62M
The World's Fastest Indian,2005),PG-13,127," Biography, Drama, Sport            ",7.8,68        ,Roger Donaldson,"['Anthony Hopkins, ', 'Diane Ladd, ', 'Iain Rea, ', 'Tessa Mitchell', '']",52169,$5.13M
Remember the Titans,2000),PG,113," Biography, Drama, Sport            ",7.8,0,Boaz Yakin,"['Denzel Washington, ', 'Will Patton, ', 'Wood Harris, ', 'Ryan Hurst', '']",199352,$115.65M
The Sandlot,1993),PG,101," Comedy, Drama, Family            ",7.8,0,David Mickey Evans,"['Tom Guiry, ', 'Mike Vitar, ', 'Art LaFleur, ', 'Patrick Renna', '']",79515,$32.42M
Kai Po Che,2013),Not Rated,120," Drama, Sport            ",7.7,0,Abhishek Kapoor,"['Amit Sadh, ', 'Sushant Singh Rajput, ', 'Rajkummar Rao, ', 'Amrita Puri', '']",32899,$1.12M
Creed,II) (2015,PG-13,133," Drama, Sport            ",7.6,82        ,Ryan Coogler,"['Michael B. Jordan, ', 'Sylvester Stallone, ', 'Tessa Thompson, ', 'Phylicia Rashad', '']",249316,$109.77M
The Art of Racing in the Rain,2019),PG,109," Comedy, Drama, Romance            ",7.6,0,Simon Curtis,"['Kevin Costner, ', 'Milo Ventimiglia, ', 'Jackie Minns, ', 'Marcus Hondro', '']",25500,$25.50M
Moneyball,2011),PG-13,133," Biography, Drama, Sport            ",7.6,87        ,Bennett Miller,"['Brad Pitt, ', 'Robin Wright, ', 'Jonah Hill, ', 'Philip Seymour Hoffman', '']",373435,$75.61M
The Blind Side,2009),PG-13,129," Biography, Drama, Sport            ",7.6,0,John Lee Hancock,"['Quinton Aaron, ', 'Sandra Bullock, ', 'Tim McGraw, ', 'Jae Head', '']",295503,$255.96M
Fearless,2006),PG-13,104," Action, Biography, Drama            ",7.6,70        ,Ronny Yu,"['Jet Li, ', 'Li Sun, ', 'Yong Dong, ', 'Yun Qu', '']",73059,$24.63M
The Hurricane,1999),R,146," Biography, Drama, Sport            ",7.6,74        ,Norman Jewison,"['Denzel Washington, ', 'Vicellous Shannon, ', 'Deborah Kara Unger, ', 'Liev Schreiber', '']",92103,$50.67M
The Big Blue,1988),PG,168," Adventure, Drama, Sport            ",7.6,0,Luc Besson,"['Jean-Marc Barr, ', 'Jean Reno, ', 'Rosanna Arquette, ', 'Paul Shenar', '']",48528,$3.50M
"I, Tonya",2017),R,119," Biography, Comedy, Drama            ",7.5,77        ,Craig Gillespie,"['Margot Robbie, ', 'Sebastian Stan, ', 'Allison Janney, ', 'Julianne Nicholson', '']",184865,$30.01M
The Damned United,2009),R,98," Biography, Drama, Sport            ",7.5,81        ,Tom Hooper,"['Colm Meaney, ', 'Henry Goodman, ', 'David Roper, ', 'Jimmy Reddington', '']",41630,$0.45M
42,2013),PG-13,128," Biography, Drama, Sport            ",7.5,62        ,Brian Helgeland,"['Chadwick Boseman, ', 'T.R. Knight, ', 'Harrison Ford, ', 'Nicole Beharie', '']",87319,$95.00M
Green Street Hooligans,2005),R,109," Crime, Drama, Sport            ",7.5,0,Lexi Alexander,"['Elijah Wood, ', 'Charlie Hunnam, ', 'Claire Forlani, ', 'Marc Warren', '']",142484,$0.34M
Miracle,2004),PG,135," Biography, Drama, History            ",7.5,68        ,Gavin O'Connor,"['Kurt Russell, ', 'Patricia Clarkson, ', 'Nathan West, ', 'Noah Emmerich', '']",48546,$64.38M
Rudy,1993),PG,114," Biography, Drama, Sport            ",7.5,71        ,David Anspaugh,"['Sean Astin, ', 'Jon Favreau, ', 'Ned Beatty, ', 'Greta Lind', '']",57254,$22.75M
Field of Dreams,1989),PG,107," Drama, Family, Fantasy            ",7.5,0,Phil Alden Robinson,"['Kevin Costner, ', 'James Earl Jones, ', 'Ray Liotta, ', 'Amy Madigan', '']",108687,$64.43M
Hoosiers,1986),PG,114," Drama, Sport            ",7.5,76        ,David Anspaugh,"['Gene Hackman, ', 'Barbara Hershey, ', 'Dennis Hopper, ', 'Sheb Wooley', '']",43223,$28.61M
The Natural,1984),PG,138," Drama, Sport            ",7.5,61        ,Barry Levinson,"['Robert Redford, ', 'Robert Duvall, ', 'Glenn Close, ', 'Kim Basinger', '']",44440,$47.95M
"McFarland, USA",2015),PG,129," Biography, Drama, Sport            ",7.4,0,Niki Caro,"['Kevin Costner, ', 'Maria Bello, ', 'Ramiro Rodriguez, ', 'Carlos Pratts', '']",35695,$44.47M
Southpaw,2015),R,124," Action, Drama, Sport            ",7.4,0,Antoine Fuqua,"['Jake Gyllenhaal, ', 'Rachel McAdams, ', 'Oona Laurence, ', 'Forest Whitaker', '']",219309,$52.42M
Eddie the Eagle,2015),PG-13,106," Biography, Comedy, Drama            ",7.4,0,Dexter Fletcher,"['Taron Egerton, ', 'Hugh Jackman, ', 'Tom Costello, ', 'Jo Hartley', '']",86451,$15.79M
The Greatest Game Ever Played,2005),PG,120," Biography, Drama, Sport            ",7.4,0,Bill Paxton,"['Shia LaBeouf, ', 'Stephen Dillane, ', 'Elias Koteas, ', 'James Paxton', '']",28433,$15.33M
Searching for Bobby Fischer,1993),PG,109," Biography, Drama, Sport            ",7.4,89        ,Steven Zaillian,"['Joe Mantegna, ', 'Ben Kingsley, ', 'Max Pomeranc, ', 'Joan Allen', '']",34029,$7.27M
Invictus,2009),PG-13,134," Biography, Drama, History            ",7.3,74        ,Clint Eastwood,"['Morgan Freeman, ', 'Matt Damon, ', 'Tony Kgoroge, ', 'Patrick Mofokeng', '']",150768,$37.49M
Peaceful Warrior,2006),PG-13,120," Drama, Romance, Sport            ",7.3,0,Victor Salva,"['Scott Mechlowicz, ', 'Nick Nolte, ', 'Amy Smart, ', 'Tim DeKay', '']",26803,$3.96M
Coach Carter,2005),PG-13,136," Biography, Drama, Sport            ",7.3,0,Thomas Carter,"['Samuel L. Jackson, ', 'Rick Gonzalez, ', ""Robert Ri'chard, "", 'Rob Brown', '']",130149,$67.26M
Seabiscuit,2003),PG-13,140," Drama, History, Sport            ",7.3,72        ,Gary Ross,"['Tobey Maguire, ', 'Jeff Bridges, ', 'Elizabeth Banks, ', 'Chris Cooper', '']",67167,$120.28M
Shaolin Soccer,2001),PG,87," Action, Comedy, Family            ",7.3,68        ,Stephen Chow,"['Stephen Chow, ', 'Wei Zhao, ', 'Yat-Fei Wong, ', 'Man-Tat Ng', '']",74791,$0.49M
Jerry Maguire,1996),R,139," Comedy, Drama, Romance            ",7.3,77        ,Cameron Crowe,"['Tom Cruise, ', 'Cuba Gooding Jr., ', 'Renée Zellweger, ', 'Kelly Preston', '']",244460,$153.95M
The Basketball Diaries,1995),R,102," Biography, Crime, Drama            ",7.3,0,Scott Kalvert,"['Leonardo DiCaprio, ', 'Lorraine Bracco, ', 'Marilyn Sokol, ', 'James Madio', '']",102907,$2.42M
A League of Their Own,1992),PG,128," Comedy, Drama, Sport            ",7.3,67        ,Penny Marshall,"['Tom Hanks, ', 'Geena Davis, ', 'Lori Petty, ', 'Madonna', '']",94579,$107.53M
The Karate Kid,1984),PG,126," Action, Drama, Family            ",7.3,0,John G. Avildsen,"['Ralph Macchio, ', 'Pat Morita, ', 'Elisabeth Shue, ', 'Martin Kove', '']",200255,$90.82M
Caddyshack,1980),R,98," Comedy, Sport            ",7.3,0,Harold Ramis,"['Chevy Chase, ', 'Rodney Dangerfield, ', 'Bill Murray, ', 'Ted Knight', '']",105810,$39.85M
Rocky II,1979),PG,119," Drama, Sport            ",7.3,61        ,Sylvester Stallone,"['Sylvester Stallone, ', 'Talia Shire, ', 'Burt Young, ', 'Carl Weathers', '']",193379,$6.39M
Slap Shot,1977),R,123," Comedy, Drama, Sport            ",7.3,61        ,George Roy Hill,"['Paul Newman, ', 'Michael Ontkean, ', 'Strother Martin, ', 'Jennifer Warren', '']",34450,$28.00M
Concussion,2015),PG-13,123," Biography, Drama, Sport            ",7.2,0,Peter Landesman,"['Will Smith, ', 'Alec Baldwin, ', 'Albert Brooks, ', 'David Morse', '']",87833,$34.54M
Unbroken,I) (2014),PG-13,137," Action, Biography, Drama            ",7.2,0,Angelina Jolie,"[""Jack O'Connell, "", 'Miyavi, ', 'Domhnall Gleeson, ', 'Garrett Hedlund', '']",150918,$115.64M
Chasing Mavericks,2012),PG,116," Biography, Drama, Sport            ",7.2,0,"Michael Apted, ","['    Stars:', 'Jonny Weston, ', 'Gerard Butler, ', 'Elisabeth Shue, ', 'Abigail Spencer']",30986,$6.00M
Secretariat,2010),PG,123," Biography, Drama, Family            ",7.2,61        ,Randall Wallace,"['Diane Lane, ', 'John Malkovich, ', 'Margo Martindale, ', 'Nelsan Ellis', '']",26689,$59.71M
Friday Night Lights,2004),PG-13,118," Action, Drama, Sport            ",7.2,70        ,Peter Berg,"['Billy Bob Thornton, ', 'Jay Hernandez, ', 'Derek Luke, ', 'Lucas Black', '']",59400,$61.26M
Glory Road,2006),PG,118," Biography, Drama, Sport            ",7.2,0,James Gartner,"['Josh Lucas, ', 'Derek Luke, ', 'Austin Nichols, ', 'Jon Voight', '']",43488,$42.64M
Major League,1989),R,107," Comedy, Sport            ",7.2,62        ,David S. Ward,"['Tom Berenger, ', 'Charlie Sheen, ', 'Corbin Bernsen, ', 'Margaret Whitton', '']",62457,$49.80M
Chariots of Fire,1981),PG,125," Biography, Drama, Sport            ",7.2,78        ,Hugh Hudson,"['Ben Cross, ', 'Ian Charleson, ', 'Nicholas Farrell, ', 'Nigel Havers', '']",55305,$58.97M
Fighting with My Family,2019),PG-13,108," Biography, Comedy, Drama            ",7.1,68        ,Stephen Merchant,"['Dwayne Johnson, ', 'Lena Headey, ', 'Vince Vaughn, ', 'Florence Pugh', '']",67584,$22.96M
Creed II,2018),PG-13,130," Drama, Sport            ",7.1,66        ,Steven Caple Jr.,"['Michael B. Jordan, ', 'Sylvester Stallone, ', 'Tessa Thompson, ', 'Phylicia Rashad', '']",107046,$115.72M
Race,I) (2016),PG-13,134," Biography, Drama, Sport            ",7.1,0,Stephen Hopkins,"['Stephan James, ', 'Jason Sudeikis, ', 'Eli Goree, ', 'Shanice Banton', '']",35072,$19.10M
The Legend Is Born: Ip Man,2010),Not Rated,100," Action, Biography, Drama            ",7.1,0,Herman Yau,"['Yu-Hang To, ', 'Yi Huang, ', 'Biao Yuen, ', 'Siu-Wong Fan', '']",31340,0
Win Win,2011),R,106," Comedy, Drama, Sport            ",7.1,75        ,Tom McCarthy,"['Paul Giamatti, ', 'Amy Ryan, ', 'Jeffrey Tambor, ', 'Bobby Cannavale', '']",52727,$10.18M
We Are Marshall,2006),PG,131," Drama, Sport            ",7.1,0,McG,"['Matthew McConaughey, ', 'Matthew Fox, ', 'Anthony Mackie, ', 'David Strathairn', '']",57716,$43.55M
Rocky Balboa,2006),PG,102," Action, Drama, Sport            ",7.1,63        ,Sylvester Stallone,"['Sylvester Stallone, ', 'Antonio Tarver, ', 'Milo Ventimiglia, ', 'Burt Young', '']",205224,$70.27M
Invincible,2006),PG,105," Biography, Drama, Sport            ",7.1,63        ,Ericson Core,"['Mark Wahlberg, ', 'Greg Kinnear, ', 'Elizabeth Banks, ', 'Kevin Conway', '']",66657,$57.79M
