title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Mountain II,2016),0,135," Action, Drama, War            ",8.8,0,Alper Caglar,"['Caglar Ertugrul, ', 'Ufuk Bayraktar, ', 'Ahu Türkpençe, ', 'Murat Serezli', '']",105481,0
Saving Private Ryan,1998),R,169," Drama, War            ",8.6,91        ,Steven Spielberg,"['Tom Hanks, ', 'Matt Damon, ', 'Tom Sizemore, ', 'Edward Burns', '']",1245593,$216.54M
Life Is Beautiful,1997),PG-13,116," Comedy, Drama, Romance            ",8.6,0,Roberto Benigni,"['Roberto Benigni, ', 'Nicoletta Braschi, ', 'Giorgio Cantarini, ', 'Giustino Durano', '']",629055,$57.60M
The Pianist,2002),R,150," Biography, Drama, Music            ",8.5,85        ,Roman Polanski,"['Adrien Brody, ', 'Thomas Kretschmann, ', 'Frank Finlay, ', 'Emilia Fox', '']",737237,$32.57M
Grave of the Fireflies,1988),Not Rated,89," Animation, Drama, War            ",8.5,94        ,Isao Takahata,"['Tsutomu Tatsumi, ', 'Ayano Shiraishi, ', 'Akemi Yamaguchi, ', 'Yoshiko Shinohara', '']",238283,0
Casablanca,1942),PG,102," Drama, Romance, War            ",8.5,100        ,Michael Curtiz,"['Humphrey Bogart, ', 'Ingrid Bergman, ', 'Paul Henreid, ', 'Claude Rains', '']",525760,$1.02M
Ayla: The Daughter of War,2017),0,125," Biography, Drama, History            ",8.4,0,Can Ulkay,"['Çetin Tekindor, ', 'Ismail Hacioglu, ', 'Kyung-jin Lee, ', 'Kim Seol', '']",34676,0
Dara of Jasenovac,2020),R,130," Drama, War            ",8.4,0,Predrag Antonijevic,"['Biljana Cekic, ', 'Zlatan Vidovic, ', 'Anja Stanic, ', 'Luka Saranovic', '']",33621,0
Apocalypse Now,1979),R,147," Drama, Mystery, War            ",8.4,94        ,Francis Ford Coppola,"['Martin Sheen, ', 'Marlon Brando, ', 'Robert Duvall, ', 'Frederic Forrest', '']",611004,$83.47M
Paths of Glory,1957),Approved,88," Drama, War            ",8.4,90        ,Stanley Kubrick,"['Kirk Douglas, ', 'Ralph Meeker, ', 'Adolphe Menjou, ', 'George Macready', '']",179862,0
