title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
"The Good, the Bad and the Ugly",1966),R,178, Western            ,8.8,90        ,Sergio Leone,"['Clint Eastwood, ', 'Eli Wallach, ', 'Lee Van Cleef, ', 'Aldo Giuffrè', '']",693347,$6.10M
Once Upon a Time in the West,1968),PG-13,165, Western            ,8.5,80        ,Sergio Leone,"['Henry Fonda, ', 'Charles Bronson, ', 'Claudia Cardinale, ', 'Jason Robards', '']",304917,$5.32M
Django Unchained,2012),R,165," Drama, Western            ",8.4,81        ,Quentin Tarantino,"['Jamie Foxx, ', 'Christoph Waltz, ', 'Leonardo DiCaprio, ', 'Kerry Washington', '']",1370463,$162.81M
Unforgiven,1992),R,130," Drama, Western            ",8.2,85        ,Clint Eastwood,"['Clint Eastwood, ', 'Gene Hackman, ', 'Morgan Freeman, ', 'Richard Harris', '']",378566,$101.16M
Sholay,1975),Not Rated,162," Action, Adventure, Comedy            ",8.2,0,Ramesh Sippy,"['Sanjeev Kumar, ', 'Dharmendra, ', 'Amitabh Bachchan, ', 'Amjad Khan', '']",51552,0
For a Few Dollars More,1965),R,132, Western            ,8.2,74        ,Sergio Leone,"['Clint Eastwood, ', 'Lee Van Cleef, ', 'Gian Maria Volontè, ', 'Mara Krupp', '']",234515,$15.00M
The Treasure of the Sierra Madre,1948),Passed,126," Adventure, Drama, Western            ",8.2,98        ,John Huston,"['Humphrey Bogart, ', 'Walter Huston, ', 'Tim Holt, ', 'Bruce Bennett', '']",115057,$5.01M
The Gold Rush,1925),Passed,95," Adventure, Comedy, Drama            ",8.2,0,Charles Chaplin,"['Charles Chaplin, ', 'Mack Swain, ', 'Tom Murray, ', 'Henry Bergman', '']",102013,$5.45M
The Man Who Shot Liberty Valance,1962),Not Rated,123," Drama, Western            ",8.1,94        ,John Ford,"['James Stewart, ', 'John Wayne, ', 'Vera Miles, ', 'Lee Marvin', '']",69356,0
The Revenant,2015),R,156," Action, Adventure, Drama            ",8.0,76        ,Alejandro G. Iñárritu,"['Leonardo DiCaprio, ', 'Tom Hardy, ', 'Will Poulter, ', 'Domhnall Gleeson', '']",712248,$183.64M
Dances with Wolves,1990),PG-13,181," Adventure, Drama, Western            ",8.0,72        ,Kevin Costner,"['Kevin Costner, ', 'Mary McDonnell, ', 'Graham Greene, ', 'Rodney A. Grant', '']",242273,$184.21M
Butch Cassidy and the Sundance Kid,1969),PG,110," Biography, Crime, Drama            ",8.0,66        ,George Roy Hill,"['Paul Newman, ', 'Robert Redford, ', 'Katharine Ross, ', 'Strother Martin', '']",202710,$102.31M
A Fistful of Dollars,1964),R,99," Action, Drama, Western            ",8.0,65        ,Sergio Leone,"['Clint Eastwood, ', 'Gian Maria Volontè, ', 'Marianne Koch, ', 'Wolfgang Lukschy', '']",199521,$14.50M
Rio Bravo,1959),Passed,141," Action, Drama, Western            ",8.0,93        ,Howard Hawks,"['John Wayne, ', 'Dean Martin, ', 'Ricky Nelson, ', 'Angie Dickinson', '']",56678,$12.54M
The Wild Bunch,1969),R,135," Action, Adventure, Western            ",7.9,97        ,Sam Peckinpah,"['William Holden, ', 'Ernest Borgnine, ', 'Robert Ryan, ', ""Edmond O'Brien"", '']",77807,$12.06M
The Searchers,1956),Passed,119," Adventure, Drama, Western            ",7.9,94        ,John Ford,"['John Wayne, ', 'Jeffrey Hunter, ', 'Vera Miles, ', 'Ward Bond', '']",80893,0
High Noon,1952),PG,85," Drama, Thriller, Western            ",7.9,89        ,Fred Zinnemann,"['Gary Cooper, ', 'Grace Kelly, ', 'Thomas Mitchell, ', 'Lloyd Bridges', '']",97775,$9.45M
The Hateful Eight,2015),R,168," Crime, Drama, Mystery            ",7.8,68        ,Quentin Tarantino,"['Samuel L. Jackson, ', 'Kurt Russell, ', 'Jennifer Jason Leigh, ', 'Walton Goggins', '']",522776,$54.12M
Tombstone,1993),R,130," Action, Biography, Drama            ",7.8,0,"George P. Cosmatos, ","['    Stars:', 'Kurt Russell, ', 'Val Kilmer, ', 'Sam Elliott, ', 'Bill Paxton']",127969,$56.51M
The Outlaw Josey Wales,1976),PG,135, Western            ,7.8,69        ,Clint Eastwood,"['Clint Eastwood, ', 'Sondra Locke, ', 'Chief Dan George, ', 'Bill McKinney', '']",66061,$31.80M
Red River,1948),Passed,133," Action, Adventure, Drama            ",7.8,0,"Howard Hawks, ","['    Stars:', 'John Wayne, ', 'Montgomery Clift, ', 'Joanne Dru, ', 'Walter Brennan']",28416,0
Stagecoach,1939),Passed,96," Adventure, Drama, Western            ",7.8,93        ,John Ford,"['John Wayne, ', 'Claire Trevor, ', 'Andy Devine, ', 'John Carradine', '']",44061,0
