title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Hamilton  ,2020,PG-13,160," Biography, Drama, History            ",8.5,90,    Thomas Kail  ,      Lin-Manuel Miranda,   Phillipa Soo,   Leslie Odom Jr.,   Rene Elise Golds erry  ,59623,0
    The Intoucha les  ,2011,R,112," Biography, Comedy, Drama            ",8.5,0,    Olivier Nakache   ,       Franois Cluzet,   Omar Sy,   Anne Le Ny,   Audrey Fleurot    ,768181,13180000
    The Pianist  ,2002,R,150," Biography, Drama, Music            ",8.5,85,    Roman Polanski  ,      Adrien Brody,   Thomas Kretschmann,   Frank Finlay,   Emilia Fox  ,737230,32570000
    Ayla: The Daughter of War  ,2017,0,125," Biography, Drama, History            ",8.4,0,    Can Ulkay  ,      etin Tekindor,   Ismail Hacioglu,   Kyung-jin Lee,   Kim Seol  ,34676,0
    Dangal  ,2016,Not Rated,161," Action, Biography, Drama            ",8.4,0,    Nitesh Tiwari  ,      Aamir Khan,   Sakshi Tanwar,   Fatima Sana Shaikh,   Sanya Malhotra  ,158856,12390000
    Green Book  ,2018,PG-13,130," Biography, Comedy, Drama            ",8.2,69,    Peter Farrelly  ,      Viggo Mortensen,   Mahershala Ali,   Linda Cardellini,   Se astian Maniscalco  ,388940,85080000
    Bhaag Milkha Bhaag  ,2013,Not Rated,186," Biography, Drama, Sport            ",8.2,0,    Rakeysh Omprakash Mehra  ,      Farhan Akhtar,   Sonam Kapoor,   Pawan Malhotra,   Art Malik  ,61452,1630000
    Paan Singh Tomar  ,2012,Not Rated,135," Action, Biography, Crime            ",8.2,0,    Tigmanshu Dhulia  ,      Irrfan Khan,   Mahie Gill,   Rajesh A hay,   Hemendra Dandotiya  ,33401,40000
    The Wolf of Wall Street  ,2013,R,180," Biography, Crime, Drama            ",8.2,75,    Martin Scorsese  ,      Leonardo DiCaprio,   Jonah Hill,   Margot Ro  ie,   Matthew McConaughey  ,1203370,116900000
    Downfall  ,2004,R,156," Biography, Drama, History            ",8.2,82,    Oliver Hirsch iegel  ,      Bruno Ganz,   Alexandra Maria Lara,   Ulrich Matthes,   Juliane Khler  ,333342,5510000
    A Beautiful Mind  ,2001,PG-13,135," Biography, Drama            ",8.2,72,    Ron Howard  ,      Russell Crowe,   Ed Harris,   Jennifer Connelly,   Christopher Plummer  ,855674,170740000
