title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Parasite  ,2019,R,132," Comedy, Drama, Thriller            ",8.6,96,    Bong Joon Ho  ,      Kang-ho Song,   Lee Sun-kyun,   Cho Yeo-jeong,   Choi Woo-sik  ,575451,53370000
    The Intoucha les  ,2011,R,112," Biography, Comedy, Drama            ",8.5,0,    Olivier Nakache   ,       Franois Cluzet,   Omar Sy,   Anne Le Ny,   Audrey Fleurot    ,768181,13180000
    3 Idiots  ,2009,PG-13,170," Comedy, Drama            ",8.4,67,    Rajkumar Hirani  ,      Aamir Khan,   Madhavan,   Mona Singh,   Sharman Joshi  ,347796,6530000
    Amlie  ,2001,R,122," Comedy, Romance            ",8.3,69,    Jean-Pierre Jeunet  ,      Audrey Tautou,   Mathieu Kassovitz,   Rufus,   Lorella Cravotta  ,707847,33230000
    Snatch  ,2000,R,102," Comedy, Crime            ",8.3,0,    Guy Ritchie  ,      Jason Statham,   Brad Pitt,   Benicio Del Toro,   Dennis Farina  ,787013,30330000
    Chhichhore  ,2019,Not Rated,143," Comedy, Drama            ",8.2,0,    Nitesh Tiwari  ,      Sushant Singh Rajput,   Shraddha Kapoor,   Varun Sharma,   Prateik  ,34613,900000
    Green Book  ,2018,PG-13,130," Biography, Comedy, Drama            ",8.2,69,    Peter Farrelly  ,      Viggo Mortensen,   Mahershala Ali,   Linda Cardellini,   Se astian Maniscalco  ,388940,85080000
    Klaus  ,2019,PG,96," Animation, Adventure, Comedy            ",8.2,65,    Sergio Pa los   ,       Jason Schwartzman,   J.K. Simmons,   Rashida Jones,   Will Sasso    ,108260,0
    Queen  ,2013,Not Rated,146," Adventure, Comedy, Drama            ",8.2,0,    Vikas Bahl  ,      Kangana Ranaut,   Rajkummar Rao,   Lisa Haydon,   Jeffrey Ho  ,60971,1430000
    Gangs of Wasseypur  ,2012,Not Rated,321," Action, Comedy, Crime            ",8.2,89,    Anurag Kashyap  ,      Manoj Bajpayee,   Richa Chadha,   Nawazuddin Siddiqui,   Tigmanshu Dhulia  ,83171,0
    Up  ,2009,PG,96," Animation, Adventure, Comedy            ",8.2,88,    Pete Docter   ,       Edward Asner,   Jordan Nagai,   John Ratzen erger,   Christopher Plummer    ,942819,293000000
    Toy Story 3  ,2010,G,103," Animation, Adventure, Comedy            ",8.2,92,    Lee Unkrich  ,      Tom Hanks,   Tim Allen,   Joan Cusack,   Ned Beatty  ,762232,415000000
    Rang De Basanti  ,2006,Not Rated,167," Comedy, Crime, Drama            ",8.2,0,    Rakeysh Omprakash Mehra  ,      Aamir Khan,   Soha Ali Khan,   Siddharth,   Sharman Joshi  ,112628,2200000
    Hera Pheri  ,2000,Not Rated,156," Action, Comedy, Crime            ",8.2,0,    Priyadarshan  ,      Akshay Kumar,   Sunil Shetty,   Paresh Rawal,   Ta u  ,57449,0
"    Three Bill oards Outside E  ing, Missouri  ",2017,R,115," Comedy, Crime, Drama            ",8.1,88,    Martin McDonagh  ,      Frances McDormand,   Woody Harrelson,   Sam Rockwell,   Cale  Landry Jones  ,439692,54510000
    Wild Tales  ,2014,R,122," Comedy, Drama, Thriller            ",8.1,77,    Damin Szifron  ,      Daro Grandinetti,   Mara Marull,   Mnica Villa,   Diego Starosta  ,179088,3110000
    Soul  ,2020,PG,100," Animation, Adventure, Comedy            ",8.1,83,    Pete Docter   ,       Jamie Foxx,   Tina Fey,   Graham Norton,   Rachel House    ,199526,0
    PK  ,2014,Not Rated,153," Comedy, Drama, Musical            ",8.1,0,    Rajkumar Hirani  ,      Aamir Khan,   Anushka Sharma,   Sanjay Dutt,   Boman Irani  ,164401,10620000
    OMG: Oh My God!  ,2012,Not Rated,125," Comedy, Drama, Fantasy            ",8.1,0,    Umesh Shukla  ,      Paresh Rawal,   Akshay Kumar,   Mithun Chakra orty,   Mahesh Manjrekar  ,52083,920000
    The Grand Budapest Hotel  ,2014,R,99," Adventure, Comedy, Crime            ",8.1,88,    Wes Anderson  ,      Ralph Fiennes,   F. Murray A raham,   Mathieu Amalric,   Adrien Brody  ,715702,59100000
    Inside Out  ,2015,PG,95," Animation, Adventure, Comedy            ",8.1,94,    Pete Docter   ,       Amy Poehler,   Bill Hader,   Lewis Black,   Mindy Kaling    ,623223,356460000
    Barfi!  ,2012,Not Rated,151," Comedy, Drama, Romance            ",8.1,0,    Anurag Basu  ,         Ran ir Kapoor,     Priyanka Chopra,  Ileana D    Cruz,     Saura h Shukla    ,76133,2800000
    Zindagi Na Milegi Do ara  ,2011,Not Rated,155," Comedy, Drama            ",8.1,0,    Zoya Akhtar  ,      Hrithik Roshan,   Farhan Akhtar,   A hay Deol,   Katrina Kaif  ,68445,3110000
    Mary and Max  ,2009,Not Rated,92," Animation, Comedy, Drama            ",8.1,0,    Adam Elliot  ,      Toni Collette,   Philip Seymour Hoffman,   Eric Bana,   Barry Humphries  ,165507,0
    Lage Raho Munna Bhai  ,2006,Not Rated,144," Comedy, Drama, Romance            ",8.1,0,    Rajkumar Hirani  ,      Sanjay Dutt,   Arshad Warsi,   Vidya Balan,   Boman Irani  ,43350,2220000
    Munna Bhai M.B.B.S.  ,2003,Not Rated,156," Comedy, Drama            ",8.1,0,    Rajkumar Hirani  ,      Sanjay Dutt,   Arshad Warsi,   Gracy Singh,   Sunil Dutt  ,74419,0
    Dil Chahta Hai  ,2001,Not Rated,183," Comedy, Drama, Romance            ",8.1,0,    Farhan Akhtar  ,      Aamir Khan,   Saif Ali Khan,   Akshaye Khanna,   Preity Zinta  ,67117,300000
    Finding Nemo  ,2003,G,100," Animation, Adventure, Comedy            ",8.1,90,    Andrew Stanton   ,       Al ert Brooks,   Ellen DeGeneres,   Alexander Gould,   Willem Dafoe    ,955707,380840000
"    Monsters, Inc.  ",2001,G,92," Animation, Adventure, Comedy            ",8.1,79,    Pete Docter   ,    Billy Crystal,   John Goodman,   Mary Gi  s,     ,821554,289920000
    Badhaai Ho  ,2018,Not Rated,124," Comedy, Drama            ",8.0,0,    Amit Ravindernath Sharma  ,      Ayushmann Khurrana,   Neena Gupta,   Gajraj Rao,   Sanya Malhotra  ,28294,0
    Bajrangi Bhaijaan  ,2015,Not Rated,163," Action, Adventure, Comedy            ",8.0,0,    Ka ir Khan  ,      Salman Khan,   Harshaali Malhotra,   Nawazuddin Siddiqui,   Kareena Kapoor  ,72801,8180000
    La La Land  ,2016,PG-13,128," Comedy, Drama, Music            ",8.0,94,    Damien Chazelle  ,      Ryan Gosling,   Emma Stone,   Rosemarie DeWitt,   J.K. Simmons  ,511748,151100000
    Zootopia  ,2016,PG,108," Animation, Adventure, Comedy            ",8.0,78,    Byron Howard   ,    Ginnifer Goodwin,   Jason Bateman,   Idris El a,     ,437996,341270000
    Guardians of the Galaxy  ,2014,PG-13,121," Action, Adventure, Comedy            ",8.0,76,    James Gunn  ,      Chris Pratt,   Vin Diesel,   Bradley Cooper,   Zoe Saldana  ,1051098,333180000
    Deadpool  ,2016,R,108," Action, Adventure, Comedy            ",8.0,65,    Tim Miller  ,      Ryan Reynolds,   Morena Baccarin,   T.J. Miller,   Ed Skrein  ,910336,363070000
    G.O.R.A.  ,2004,0,127," Adventure, Comedy, Sci-Fi            ",8.0,0,    mer Faruk Sorak  ,      Cem Yilmaz,   zge z erk,   Ozan Gven,   Safak Sezer  ,57499,0
    Ratatouille  ,2007,G,111," Animation, Adventure, Comedy            ",8.0,96,    Brad Bird   ,       Brad Garrett,   Lou Romano,   Patton Oswalt,   Ian Holm    ,646831,206450000
    My Sassy Girl  ,2001,Not Rated,137," Comedy, Drama, Romance            ",8.0,0,    Jae-young Kwak  ,      Tae-Hyun Cha,   Jun Ji-Hyun,   In-mun Kim,   Song Wok-suk  ,45574,0
    Vizontele  ,2001,0,110," Comedy, Drama            ",8.0,0,    Yilmaz Erdogan   ,       Yilmaz Erdogan,   Demet Ak ag,   Altan Erkekli,   Cem Yilmaz    ,33863,0
    Knives Out  ,2019,PG-13,130," Comedy, Crime, Drama            ",7.9,82,    Rian Johnson  ,      Daniel Craig,   Chris Evans,   Ana de Armas,   Jamie Lee Curtis  ,470649,165360000
    Marriage Story  ,2019,R,137," Comedy, Drama, Romance            ",7.9,94,    Noah Baum ach  ,      Adam Driver,   Scarlett Johansson,   Julia Greer,   Azhy Ro ertson  ,251993,2000000
    Isle of Dogs  ,2018,PG-13,101," Animation, Adventure, Comedy            ",7.9,82,    Wes Anderson  ,      Bryan Cranston,   Koyu Rankin,   Edward Norton,   Bo  Bala an  ,141498,32020000
    Hunt for the Wilderpeople  ,2016,PG-13,101," Adventure, Comedy, Drama            ",7.9,81,    Taika Waititi  ,      Sam Neill,   Julian Dennison,   Rima Te Wiata,   Rachel House  ,113170,5200000
    Captain Fantastic  ,2016,R,118," Comedy, Drama            ",7.9,72,    Matt Ross  ,      Viggo Mortensen,   George MacKay,   Samantha Isler,   Annalise Basso  ,192522,5880000
    Sing Street  ,2016,PG-13,106," Comedy, Drama, Music            ",7.9,79,    John Carney  ,      Ferdia Walsh-Peelo,   Aidan Gillen,   Maria Doyle Kennedy,   Jack Reynor  ,85859,3240000
    Thor: Ragnarok  ,2017,PG-13,130," Action, Adventure, Comedy            ",7.9,74,    Taika Waititi  ,      Chris Hemsworth,   Tom Hiddleston,   Cate Blanchett,   Mark Ruffalo  ,597099,315060000
    Jojo Ra  it  ,2019,PG-13,108," Comedy, Drama, War            ",7.9,0,    Taika Waititi  ,      Roman Griffin Davis,   Thomasin McKenzie,   Scarlett Johansson,   Taika Waititi  ,306878,350000
    The Artist  ,2011,PG-13,100," Comedy, Drama, Romance            ",7.9,89,    Michel Hazanavicius  ,      Jean Dujardin,   Brnice Bejo,   John Goodman,   James Cromwell  ,231656,44670000
    Ja  We Met  ,2007,Not Rated,138," Comedy, Drama, Romance            ",7.9,0,    Imtiaz Ali  ,      Shahid Kapoor,   Kareena Kapoor,   Tarun Arora,   Dara Singh  ,48003,410000
    In Bruges  ,2008,R,107," Comedy, Crime, Drama            ",7.9,67,    Martin McDonagh  ,      Colin Farrell,   Brendan Gleeson,   Ciarn Hinds,   Eliza eth Berrington  ,392386,7760000
    Fantastic Mr. Fox  ,2009,PG,87," Animation, Adventure, Comedy            ",7.9,83,    Wes Anderson  ,      George Clooney,   Meryl Streep,   Bill Murray,   Jason Schwartzman  ,202334,21000000
    C.R.A.Z.Y.  ,2005,Not Rated,129," Comedy, Drama            ",7.9,81,    Jean-Marc Valle  ,      Michel Ct,   Marc-Andr Grondin,   Danielle Proulx,   mile Valle  ,31554,0
    The Chorus  ,2004,PG-13,97," Comedy, Drama, Music            ",7.9,0,    Christophe Barratier  ,      Grard Jugnot,   Franois Berland,   Jean-Baptiste Maunier,   Kad Merad  ,57773,3640000
    Shaun of the Dead  ,2004,R,99," Comedy, Horror            ",7.9,76,    Edgar Wright  ,      Simon Pegg,   Nick Frost,   Kate Ashfield,   Lucy Davis  ,515017,13540000
    Kal Ho Naa Ho  ,2003,Not Rated,186," Comedy, Drama, Musical            ",7.9,0,    Nikkhil Advani  ,      Preity Zinta,   Shah Rukh Khan,   Saif Ali Khan,   Jaya Bachchan  ,63784,1790000
    No Man' s Land  ,2001,R,98," Comedy, Drama, War            ",7.9,84,    Danis Tanovic  ,      Branko Djuric,   Rene Bitorajac,   Filip Sovagovic,   Georges Siatidis  ,44906,1060000
    Almost Famous  ,2000,R,122," Adventure, Comedy, Drama            ",7.9,90,    Cameron Crowe  ,      Billy Crudup,   Patrick Fugit,   Kate Hudson,   Frances McDormand  ,254304,32530000
    The Gentlemen  ,2019,R,113," Action, Comedy, Crime            ",7.8,0,    Guy Ritchie  ,      Matthew McConaughey,   Charlie Hunnam,   Michelle Dockery,   Jeremy Strong  ,249900,0
    Perfect Strangers  ,2016,0,96," Comedy, Drama            ",7.8,0,    Paolo Genovese  ,      Giuseppe Battiston,   Anna Foglietta,   Marco Giallini,   Edoardo Leo  ,57923,0
