title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Dark Knight  ,2008,PG-13,152," Action, Crime, Drama            ",9.0,84,    Christopher Nolan  ,      Christian Bale,   Heath Ledger,   Aaron Eckhart,   Michael Caine  ,2321555,534860000
    City of God  ,2002,R,130," Crime, Drama            ",8.6,79,    Fernando Meirelles   ,       Alexandre Rodrigues,   Leandro Firmino,   Matheus Nachtergaele,   Phellipe Haagensen    ,703420,7560000
    Raatchasan  ,2018,Not Rated,170," Action, Crime, Thriller            ",8.5,0,    Ram Kumar  ,      Vishnu Vishal,   Amala Paul,   Radha Ravi,   Sangili Murugan  ,26123,0
    The Departed  ,2006,R,151," Crime, Drama, Thriller            ",8.5,85,    Martin Scorsese  ,      Leonardo DiCaprio,   Matt Damon,   Jack Nicholson,   Mark Wahl erg  ,1199461,132380000
    Joker  ,2019,R,122," Crime, Drama, Thriller            ",8.4,0,    Todd Phillips  ,      Joaquin Phoenix,   Ro ert De Niro,   Zazie Beetz,   Frances Conroy  ,961948,335450000
    Vikram Vedha  ,2017,Not Rated,147," Action, Crime, Drama            ",8.4,0,    Gayatri   ,       Madhavan,   Vijay Sethupathi,   Shraddha Srinath,   Kathir    ,29120,0
    Drishyam  ,2013,Not Rated,160," Crime, Drama, Thriller            ",8.4,0,    Jeethu Joseph  ,      Mohanlal,   Meena,   Asha Sharath,   Ansi a  ,33527,0
    Andhadhun  ,2018,Not Rated,139," Crime, Drama, Music            ",8.3,0,    Sriram Raghavan  ,      Ayushmann Khurrana,   Ta u,   Radhika Apte,   Anil Dhawan  ,73464,1370000
    Snatch  ,2000,R,102," Comedy, Crime            ",8.3,0,    Guy Ritchie  ,      Jason Statham,   Brad Pitt,   Benicio Del Toro,   Dennis Farina  ,787013,30330000
    Talvar  ,2015,Not Rated,132," Crime, Drama, Mystery            ",8.2,0,    Meghna Gulzar  ,      Irrfan Khan,   Konkona Sen Sharma,   Neeraj Ka i,   Sohum Shah  ,31392,340000
    Drishyam  ,2015,Not Rated,163," Crime, Drama, Mystery            ",8.2,0,    Nishikant Kamat  ,      Ajay Devgn,   Shriya Saran,   Ta u,   Rajat Kapoor  ,71793,740000
    Gangs of Wasseypur  ,2012,Not Rated,321," Action, Comedy, Crime            ",8.2,89,    Anurag Kashyap  ,      Manoj Bajpayee,   Richa Chadha,   Nawazuddin Siddiqui,   Tigmanshu Dhulia  ,83171,0
    Paan Singh Tomar  ,2012,Not Rated,135," Action, Biography, Crime            ",8.2,0,    Tigmanshu Dhulia  ,      Irrfan Khan,   Mahie Gill,   Rajesh A hay,   Hemendra Dandotiya  ,33401,40000
    The Wolf of Wall Street  ,2013,R,180," Biography, Crime, Drama            ",8.2,75,    Martin Scorsese  ,      Leonardo DiCaprio,   Jonah Hill,   Margot Ro  ie,   Matthew McConaughey  ,1203370,116900000
    Rang De Basanti  ,2006,Not Rated,167," Comedy, Crime, Drama            ",8.2,0,    Rakeysh Omprakash Mehra  ,      Aamir Khan,   Soha Ali Khan,   Siddharth,   Sharman Joshi  ,112628,2200000
    Hera Pheri  ,2000,Not Rated,156," Action, Comedy, Crime            ",8.2,0,    Priyadarshan  ,      Akshay Kumar,   Sunil Shetty,   Paresh Rawal,   Ta u  ,57449,0
"    Three Bill oards Outside E  ing, Missouri  ",2017,R,115," Comedy, Crime, Drama            ",8.1,88,    Martin McDonagh  ,      Frances McDormand,   Woody Harrelson,   Sam Rockwell,   Cale  Landry Jones  ,439692,54510000
    The Invisi le Guest  ,2016,TV-MA,106," Crime, Drama, Mystery            ",8.1,0,    Oriol Paulo  ,      Mario Casas,   Ana Wagener,   Jose Coronado,   Br ara Lennie  ,146634,0
    Haider  ,2014,Not Rated,160," Action, Crime, Drama            ",8.1,0,    Vishal Bhardwaj  ,      Shahid Kapoor,   Ta u,   Shraddha Kapoor,   Kay Kay Menon  ,50646,900000
    The Grand Budapest Hotel  ,2014,R,99," Adventure, Comedy, Crime            ",8.1,88,    Wes Anderson  ,      Ralph Fiennes,   F. Murray A raham,   Mathieu Amalric,   Adrien Brody  ,715702,59100000
    Spotlight  ,2015,R,129," Biography, Crime, Drama            ",8.1,93,    Tom McCarthy  ,      Mark Ruffalo,   Michael Keaton,   Rachel McAdams,   Liev Schrei er  ,424605,45060000
    Prisoners  ,2013,R,153," Crime, Drama, Mystery            ",8.1,70,    Denis Villeneuve  ,      Hugh Jackman,   Jake Gyllenhaal,   Viola Davis,   Melissa Leo  ,607697,61000000
    A Wednesday  ,2008,Not Rated,104," Action, Crime, Drama            ",8.1,0,    Neeraj Pandey  ,      Anupam Kher,   Naseeruddin Shah,   Jimmy Sheirgill,   Aamir Bashir  ,74140,0
