title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Spirited Away  ,2001,PG,125," Animation, Adventure, Family            ",8.6,96,    Hayao Miyazaki  ,      Daveigh Chase,   Suzanne Pleshette,   Miyu Irino,   Rumi Hiiragi  ,659229,10060000
    Spider-Man: Into the Spider-Verse  ,2018,PG,117," Animation, Action, Adventure            ",8.4,87,    Bo  Persichetti   ,    Shameik Moore,   Jake Johnson,   Hailee Steinfeld,     ,384623,190240000
    Coco  ,2017,PG,105," Animation, Adventure, Family            ",8.4,81,    Lee Unkrich   ,       Anthony Gonzalez,   Gael Garca Bernal,   Benjamin Bratt,   Alanna U ach    ,392925,209730000
    Like Stars on Earth  ,2007,PG,165," Drama, Family            ",8.4,0,    Aamir Khan   ,       Darsheel Safary,   Aamir Khan,   Tisca Chopra,   Vipin Sharma    ,171029,1220000
    WALLE  ,2008,G,98," Animation, Adventure, Family            ",8.4,95,    Andrew Stanton  ,      Ben Burtt,   Elissa Knight,   Jeff Garlin,   Fred Willard  ,1007561,223810000
    My Father and My Son  ,2005,0,112," Drama, Family            ",8.3,0,    agan Irmak  ,      Eser Sariyar,   etin Tekindor,   Fikret Kuskan,   Hmeyra  ,79738,0
    Klaus  ,2019,PG,96," Animation, Adventure, Comedy            ",8.2,65,    Sergio Pa los   ,       Jason Schwartzman,   J.K. Simmons,   Rashida Jones,   Will Sasso    ,108260,0
    Up  ,2009,PG,96," Animation, Adventure, Comedy            ",8.2,88,    Pete Docter   ,       Edward Asner,   Jordan Nagai,   John Ratzen erger,   Christopher Plummer    ,942819,293000000
    Chak De! India  ,2007,Not Rated,153," Drama, Family, Sport            ",8.2,68,    Shimit Amin  ,      Shah Rukh Khan,   Vidya Malvade,   Sagarika Ghatge,   Shilpa Shukla  ,74579,1110000
    Toy Story 3  ,2010,G,103," Animation, Adventure, Comedy            ",8.2,92,    Lee Unkrich  ,      Tom Hanks,   Tim Allen,   Joan Cusack,   Ned Beatty  ,762232,415000000
    Howl' s Moving Castle  ,2004,PG,119," Animation, Adventure, Family            ",8.2,80,    Hayao Miyazaki  ,      Chieko Baish,   Takuya Kimura,   Tatsuya Gashin,   Akihiro Miwa  ,338473,4710000
    A Silent Voice: The Movie  ,2016,Not Rated,130," Animation, Drama, Family            ",8.1,78,    Naoko Yamada  ,      Miyu Irino,   Saori Hayami,   Aoi Yki,   Kensh Ono  ,50394,0
    Soul  ,2020,PG,100," Animation, Adventure, Comedy            ",8.1,83,    Pete Docter   ,       Jamie Foxx,   Tina Fey,   Graham Norton,   Rachel House    ,199494,0
    Inside Out  ,2015,PG,95," Animation, Adventure, Comedy            ",8.1,94,    Pete Docter   ,       Amy Poehler,   Bill Hader,   Lewis Black,   Mindy Kaling    ,623223,356460000
    Song of the Sea  ,2014,PG,93," Animation, Adventure, Drama            ",8.1,85,    Tomm Moore  ,      David Rawle,   Brendan Gleeson,   Lisa Hannigan,   Fionnula Flanagan  ,52444,860000
    Hachi: A Dog' s Tale  ,2009,G,93," Biography, Drama, Family            ",8.1,0,    Lasse Hallstrm  ,      Richard Gere,   Joan Allen,   Cary-Hiroyuki Tagawa,   Sarah Roemer  ,255863,0
    Mary and Max  ,2009,Not Rated,92," Animation, Comedy, Drama            ",8.1,0,    Adam Elliot  ,      Toni Collette,   Philip Seymour Hoffman,   Eric Bana,   Barry Humphries  ,165507,0
