title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Lord of the Rings: The Return of the King  ,2003,PG-13,201," Action, Adventure, Drama            ",8.9,94,    Peter Jackson  ,      Elijah Wood,   Viggo Mortensen,   Ian McKellen,   Orlando Bloom  ,1654477,377850000
    The Lord of the Rings: The Fellowship of the Ring  ,2001,PG-13,178," Action, Adventure, Drama            ",8.8,92,    Peter Jackson  ,      Elijah Wood,   Ian McKellen,   Orlando Bloom,   Sean Bean  ,1674104,315540000
    The Lord of the Rings: The Two Towers  ,2002,PG-13,179," Action, Adventure, Drama            ",8.7,87,    Peter Jackson  ,      Elijah Wood,   Ian McKellen,   Viggo Mortensen,   Orlando Bloom  ,1496227,342550000
    Spirited Away  ,2001,PG,125," Animation, Adventure, Family            ",8.6,96,    Hayao Miyazaki  ,      Daveigh Chase,   Suzanne Pleshette,   Miyu Irino,   Rumi Hiiragi  ,659235,10060000
    Your Name.  ,2016,PG,106," Animation, Drama, Fantasy            ",8.4,79,    Makoto Shinkai  ,      Rynosuke Kamiki,   Mone Kamishiraishi,   Ry Narita,   Aoi Yki  ,200314,5020000
    Coco  ,2017,PG,105," Animation, Adventure, Family            ",8.4,81,    Lee Unkrich   ,       Anthony Gonzalez,   Gael Garca Bernal,   Benjamin Bratt,   Alanna U ach    ,392932,209730000
    Tum  ad  ,2018,Not Rated,104," Drama, Fantasy, Horror            ",8.3,0,    Rahi Anil Barve   ,    Sohum Shah,   Jyoti Malshe,   ,     ,28617,0
    Baahu ali 2: The Conclusion  ,2017,Not Rated,167," Action, Adventure, Drama            ",8.2,0,    S.S. Rajamouli  ,      Pra has,   Rana Daggu ati,   Anushka Shetty,   Tamannaah Bhatia  ,76032,20190000
    Pan' s La yrinth  ,2006,R,118," Drama, Fantasy, War            ",8.2,98,    Guillermo del Toro  ,      Ivana Baquero,   Ariadna Gil,   Sergi Lpez,   Mari el Verd  ,622331,37630000
    Toy Story 3  ,2010,G,103," Animation, Adventure, Comedy            ",8.2,92,    Lee Unkrich  ,      Tom Hanks,   Tim Allen,   Joan Cusack,   Ned Beatty  ,762234,415000000
    Howl' s Moving Castle  ,2004,PG,119," Animation, Adventure, Family            ",8.2,80,    Hayao Miyazaki  ,      Chieko Baish,   Takuya Kimura,   Tatsuya Gashin,   Akihiro Miwa  ,338478,4710000
    Soul  ,2020,PG,100," Animation, Adventure, Comedy            ",8.1,83,    Pete Docter   ,       Jamie Foxx,   Tina Fey,   Graham Norton,   Rachel House    ,199526,0
    OMG: Oh My God!  ,2012,Not Rated,125," Comedy, Drama, Fantasy            ",8.1,0,    Umesh Shukla  ,      Paresh Rawal,   Akshay Kumar,   Mithun Chakra orty,   Mahesh Manjrekar  ,52083,920000
    Wolf Children  ,2012,PG,117," Animation, Drama, Fantasy            ",8.1,71,    Mamoru Hosoda  ,      Aoi Miyazaki,   Takao Osawa,   Haru Kuroki,   Yukito Nishii  ,39302,0
    Inside Out  ,2015,PG,95," Animation, Adventure, Comedy            ",8.1,94,    Pete Docter   ,       Amy Poehler,   Bill Hader,   Lewis Black,   Mindy Kaling    ,623227,356460000
    Song of the Sea  ,2014,PG,93," Animation, Adventure, Drama            ",8.1,85,    Tomm Moore  ,      David Rawle,   Brendan Gleeson,   Lisa Hannigan,   Fionnula Flanagan  ,52445,860000
    Harry Potter and the Deathly Hallows: Part 2  ,2011,PG-13,130," Adventure, Drama, Fantasy            ",8.1,85,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Michael Gam on  ,771110,381010000
    How to Train Your Dragon  ,2010,PG,98," Animation, Action, Adventure            ",8.1,75,    Dean DeBlois   ,       Jay Baruchel,   Gerard Butler,   Christopher Mintz-Plasse,   Craig Ferguson    ,671496,217580000
"    Monsters, Inc.  ",2001,G,92," Animation, Adventure, Comedy            ",8.1,79,    Pete Docter   ,    Billy Crystal,   John Goodman,   ,     ,821557,289920000
    Baahu ali: The Beginning  ,2015,Not Rated,159," Action, Adventure, Drama            ",8.0,0,    S.S. Rajamouli  ,      Pra has,   Rana Daggu ati,   Ramya Krishnan,   Sathyaraj  ,103724,6740000
    The Tale of The Princess Kaguya  ,2013,PG,137," Animation, Adventure, Drama            ",8.0,89,    Isao Takahata  ,      Chlo Grace Moretz,   James Caan,   Mary Steen urgen,   James Marsden  ,39465,1510000
    Ratatouille  ,2007,G,111," Animation, Adventure, Comedy            ",8.0,96,    Brad Bird   ,       Brad Garrett,   Lou Romano,   Patton Oswalt,   Ian Holm    ,646836,206450000
    Pirates of the Cari  ean: The Curse of the Black Pearl  ,2003,PG-13,143," Action, Adventure, Fantasy            ",8.0,63,    Gore Ver inski  ,      Johnny Depp,   Geoffrey Rush,   Orlando Bloom,   Keira Knightley  ,1019568,305410000
    Big Fish  ,2003,PG-13,125," Adventure, Drama, Fantasy            ",8.0,0,    Tim Burton  ,      Ewan McGregor,   Al ert Finney,   Billy Crudup,   Jessica Lange  ,417219,66260000
    Isle of Dogs  ,2018,PG-13,101," Animation, Adventure, Comedy            ",7.9,82,    Wes Anderson  ,      Bryan Cranston,   Koyu Rankin,   Edward Norton,   Bo  Bala an  ,141501,32020000
    Thor: Ragnarok  ,2017,PG-13,130," Action, Adventure, Comedy            ",7.9,74,    Taika Waititi  ,      Chris Hemsworth,   Tom Hiddleston,   Cate Blanchett,   Mark Ruffalo  ,597109,315060000
    Let the Right One In  ,2008,R,114," Crime, Drama, Fantasy            ",7.9,82,    Tomas Alfredson  ,      Kre Hede rant,   Lina Leandersson,   Per Ragnar,   Henrik Dahl  ,206369,2120000
    The Man from Earth  ,2007,Not Rated,87," Drama, Fantasy, Mystery            ",7.9,0,    Richard Schenkman  ,      David Lee Smith,   Tony Todd,   John Billingsley,   Ellen Crawford  ,175129,0
