title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Tum  ad  ,2018,Not Rated,104," Drama, Fantasy, Horror            ",8.3,0,    Rahi Anil Barve   ,    Sohum Shah,   Jyoti Malshe,   Anita Date,     ,28617,0
    The Blue Elephant  ,2014,Not Rated,170," Drama, Horror, Mystery            ",8.1,0,    Marwan Hamed  ,      Karim A del Aziz,   Khaled El-Sawi,   Nelly Karim,   Muhammad Mamdooh  ,26770,0
    Let the Right One In  ,2008,R,114," Crime, Drama, Fantasy            ",7.9,82,    Tomas Alfredson  ,      Kre Hede rant,   Lina Leandersson,   Per Ragnar,   Henrik Dahl  ,206369,2120000
    Shaun of the Dead  ,2004,R,99," Comedy, Horror            ",7.9,76,    Edgar Wright  ,      Simon Pegg,   Nick Frost,   Kate Ashfield,   Lucy Davis  ,515020,13540000
    I Saw the Devil  ,2010,Not Rated,144," Action, Crime, Drama            ",7.8,67,    Jee-woon Kim  ,      Lee Byung-Hun,   Choi Min-sik,   Jeon Gook-Hwan,   Ho-jin Chun  ,112665,130000
    Get Out  ,2017,R,104," Horror, Mystery, Thriller            ",7.7,85,    Jordan Peele  ,      Daniel Kaluuya,   Allison Williams,   Bradley Whitford,   Catherine Keener  ,498949,176040000
    What We Do in the Shadows  ,2014,R,86," Comedy, Horror            ",7.7,76,    Jemaine Clement   ,       Jemaine Clement,   Taika Waititi,   Cori Gonzalez-Macuer,   Jonny Brugh    ,159116,3330000
    Vampire Hunter D: Bloodlust  ,2000,R,103," Animation, Action, Fantasy            ",7.7,62,    Yoshiaki Kawajiri  ,      Andrew Philpot,   John Rafter Lee,   Pamela Adlon,   Wendee Lee  ,29399,150000
    Stree  ,2018,Not Rated,128," Comedy, Horror            ",7.6,0,    Amar Kaushik  ,      Rajkummar Rao,   Shraddha Kapoor,   Pankaj Tripathi,   Aparshakti Khurana  ,28490,0
    Train to Busan  ,2016,Not Rated,118," Action, Horror, Thriller            ",7.6,72,    Sang-ho Yeon  ,      Gong Yoo,   Jung Yu-mi,   Ma Dong-seok,   Su-an Kim  ,169436,2130000
    The Skin I Live In  ,2011,R,120," Drama, Horror, Thriller            ",7.6,70,    Pedro Almodvar  ,      Antonio Banderas,   Elena Anaya,   Jan Cornet,   Marisa Paredes  ,140130,3190000
    Zom ieland  ,2009,R,88," Adventure, Comedy, Fantasy            ",7.6,73,    Ru en Fleischer  ,      Jesse Eisen erg,   Emma Stone,   Woody Harrelson,   A igail Breslin  ,522559,75590000
    Saw  ,2004,R,103," Horror, Mystery, Thriller            ",7.6,0,    James Wan  ,      Cary Elwes,   Leigh Whannell,   Danny Glover,   Ken Leung  ,381097,56000000
    28 Days Later...  ,2002,R,113," Drama, Horror, Sci-Fi            ",7.6,73,    Danny Boyle  ,      Cillian Murphy,   Naomie Harris,   Christopher Eccleston,   Alex Palmer  ,378745,45060000
    The Others  ,2001,PG-13,104," Horror, Mystery, Thriller            ",7.6,74,    Alejandro Amen ar  ,      Nicole Kidman,   Christopher Eccleston,   Fionnula Flanagan,   Alakina Mann  ,339701,96520000
    The Lighthouse  ,2019,R,109," Drama, Fantasy, Horror            ",7.5,83,    Ro ert Eggers  ,      Ro ert Pattinson,   Willem Dafoe,   Valeriia Karaman,   Logan Hawkes  ,147732,430000
    A Quiet Place  ,2018,PG-13,90," Drama, Horror, Sci-Fi            ",7.5,82,    John Krasinski  ,      Emily Blunt,   John Krasinski,   Millicent Simmonds,   Noah Jupe  ,412228,188020000
    The Wailing  ,2016,TV-MA,156," Horror, Mystery, Thriller            ",7.5,81,    Hong-jin Na  ,      Jun Kunimura,   Hwang Jung-min,   Do-won Kwak,   Woo-hee Chun  ,52991,0
    Tucker and Dale vs Evil  ,2010,R,89," Comedy, Horror            ",7.5,65,    Eli Craig  ,      Tyler La ine,   Alan Tudyk,   Katrina Bowden,   Jesse Moss  ,166065,220000
    The Conjuring  ,2013,R,112," Horror, Mystery, Thriller            ",7.5,68,    James Wan  ,      Patrick Wilson,   Vera Farmiga,   Ron Livingston,   Lili Taylor  ,445373,137400000
    Grindhouse  ,2007,R,191," Action, Horror, Thriller            ",7.5,77,    Ro ert Rodriguez   ,      Edgar Wright,   Ro  Zom ie  ,    Kurt Russell,,178400,25030000
    Take Shelter  ,2011,R,120," Drama, Horror, Sci-Fi            ",7.4,85,    Jeff Nichols  ,      Michael Shannon,   Jessica Chastain,   Shea Whigham,   Tova Stewart  ,91983,1730000
    REC  ,2007,R,78," Action, Adventure, Fantasy            ",7.4,69,    Jaume Balaguer   ,       Manuela Velasco,   Ferran Terraza,   Jorge-Yamam Serrano,   Pa lo Rosso    ,166406,0
    The Orphanage  ,2007,R,105," Drama, Fantasy, Horror            ",7.4,74,    J.A. Bayona  ,      Beln Rueda,   Fernando Cayo,   Roger Prncep,   Ma el Rivera  ,147480,7160000
    Wallace & Gromit: The Curse of the Were-Ra  it  ,2005,G,85," Animation, Adventure, Comedy            ",7.4,87,    Steve Box   ,       Peter Sallis,   Helena Bonham Carter,   Ralph Fiennes,   Peter Kay    ,126276,56110000
    Irreversi le  ,2002,Not Rated,97," Crime, Drama, Horror            ",7.4,0,    Gaspar No  ,      Monica Bellucci,   Vincent Cassel,   Al ert Dupontel,   Jo Prestia  ,121471,750000
    The Devil' s Back one  ,2001,R,106," Drama, Horror            ",7.4,78,    Guillermo del Toro  ,      Marisa Paredes,   Eduardo Noriega,   Federico Luppi,   Fernando Tielve  ,62092,750000
    Hereditary  ,2018,R,127," Drama, Horror, Mystery            ",7.3,87,    Ari Aster  ,      Toni Collette,   Milly Shapiro,   Ga riel Byrne,   Alex Wolff  ,245402,44070000
    Doctor Sleep  ,2019,R,152," Drama, Fantasy, Horror            ",7.3,0,    Mike Flanagan  ,      Ewan McGregor,   Re ecca Ferguson,   Kyliegh Curran,   Cliff Curtis  ,147399,0
    Split  ,2016,PG-13,117," Horror, Thriller            ",7.3,62,    M. Night Shyamalan  ,      James McAvoy,   Anya Taylor-Joy,   Haley Lu Richardson,   Jessica Sula  ,430921,138290000
    The Conjuring 2  ,2016,R,134," Horror, Mystery, Thriller            ",7.3,65,    James Wan  ,         Vera Farmiga,     Patrick Wilson,     Madison Wolfe,  Frances O    Connor ,227721,102470000
    Only Lovers Left Alive  ,2013,R,123," Comedy, Drama, Fantasy            ",7.3,79,    Jim Jarmusch  ,      Tilda Swinton,   Tom Hiddleston,   Mia Wasikowska,   John Hurt  ,91743,1880000
    It  ,2017,R,135, Horror            ,7.3,69,    Andy Muschietti  ,      Bill Skarsgrd,   Jaeden Martell,   Finn Wolfhard,   Sophia Lillis  ,463447,327480000
    An American Crime  ,2007,R,98," Biography, Crime, Drama            ",7.3,0,    Tommy O  Haver  ,      Elliot Page,   Hayley McFarland,   Nick Searcy,   Romy Rosemont  ,32644,0
    Sweeney Todd: The Demon Bar er of Fleet Street  ,2007,R,116," Drama, Horror, Musical            ",7.3,83,    Tim Burton  ,      Johnny Depp,   Helena Bonham Carter,   Alan Rickman,   Timothy Spall  ,345979,52900000
    Dawn of the Dead  ,2004,R,101," Action, Horror            ",7.3,0,    Zack Snyder  ,      Sarah Polley,   Ving Rhames,   Mekhi Phifer,   Jake We er  ,235214,59020000
    Coherence  ,2013,Not Rated,89," Drama, Horror, Mystery            ",7.2,65,    James Ward Byrkit  ,      Emily Baldoni,   Maury Sterling,   Nicholas Brendon,   Eliza eth Gracen  ,110741,70000
    10 Cloverfield Lane  ,2016,PG-13,103," Action, Drama, Horror            ",7.2,76,    Dan Trachten erg  ,      John Goodman,   Mary Eliza eth Winstead,   John Gallagher Jr.,   Douglas M. Griffin  ,292984,72080000
    Timecrimes  ,2007,R,92," Horror, Mystery, Sci-Fi            ",7.2,68,    Nacho Vigalondo  ,      Karra Elejalde,   Candela Fernndez,   Br ara Goenaga,   Nacho Vigalondo  ,58891,40000
    The Descent  ,2005,R,99," Adventure, Horror, Thriller            ",7.2,71,    Neil Marshall  ,      Shauna Macdonald,   Natalie Mendoza,   Alex Reid,   Saskia Mulder  ,202754,26020000
    A Tale of Two Sisters  ,2003,R,114," Drama, Horror, Mystery            ",7.2,65,    Jee-woon Kim  ,      Lim Soo-jung,   Jung-ah Yum,   Kim Kap-su,   Moon Geun-young  ,57118,0
    Midsommar  ,2019,R,148," Drama, Horror, Mystery            ",7.1,72,    Ari Aster  ,      Florence Pugh,   Jack Reynor,   Vilhelm Blomgren,   William Jackson Harper  ,207483,27330000
    Don' t Breathe  ,2016,R,88," Crime, Horror, Thriller            ",7.1,71,    Fede Alvarez  ,      Stephen Lang,   Jane Levy,   Dylan Minnette,   Daniel Zovatto  ,224633,89220000
    Bone Tomahawk  ,2015,Not Rated,132," Drama, Horror, Western            ",7.1,72,    S. Craig Zahler  ,      Kurt Russell,   Patrick Wilson,   Matthew Fox,   Richard Jenkins  ,87758,0
