title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Spirited Away  ,2001,PG,125," Animation, Adventure, Family            ",8.6,96,    Hayao Miyazaki  ,      Daveigh Chase,   Suzanne Pleshette,   Miyu Irino,   Rumi Hiiragi  ,659235,10060000
    The Prestige  ,2006,PG-13,130," Drama, Mystery, Sci-Fi            ",8.5,66,    Christopher Nolan  ,      Christian Bale,   Hugh Jackman,   Scarlett Johansson,   Michael Caine  ,1200476,53090000
    Coco  ,2017,PG,105," Animation, Adventure, Family            ",8.4,81,    Lee Unkrich   ,       Anthony Gonzalez,   Gael Garca Bernal,   Benjamin Bratt,   Alanna U ach    ,392932,209730000
    The Lives of Others  ,2006,R,137," Drama, Mystery, Thriller            ",8.4,89,    Florian Henckel von Donnersmarck  ,      Ulrich Mhe,   Martina Gedeck,   Se astian Koch,   Ulrich Tukur  ,361559,11290000
    Old oy  ,2003,R,120," Action, Drama, Mystery            ",8.4,77,    Chan-wook Park  ,      Choi Min-sik,   Yoo Ji-Tae,   Kang Hye-jeong,   Kim Byeong-Ok  ,520020,710000
    Memento  ,2000,R,113," Mystery, Thriller            ",8.4,80,    Christopher Nolan  ,      Guy Pearce,   Carrie-Anne Moss,   Joe Pantoliano,   Mark Boone Junior  ,1133403,25540000
    Andhadhun  ,2018,Not Rated,139," Crime, Drama, Music            ",8.3,0,    Sriram Raghavan  ,      Ayushmann Khurrana,   Ta u,   Radhika Apte,   Anil Dhawan  ,73465,1370000
    Incendies  ,2010,R,131," Drama, Mystery, War            ",8.3,80,    Denis Villeneuve  ,      Lu na Aza al,   Mlissa Dsormeaux-Poulin,   Maxim Gaudette,   Mustafa Kamel  ,152272,6860000
    Talvar  ,2015,Not Rated,132," Crime, Drama, Mystery            ",8.2,0,    Meghna Gulzar  ,      Irrfan Khan,   Konkona Sen Sharma,   Neeraj Ka i,   Sohum Shah  ,31393,340000
    Drishyam  ,2015,Not Rated,163," Crime, Drama, Mystery            ",8.2,0,    Nishikant Kamat  ,      Ajay Devgn,   Shriya Saran,   Ta u,   Rajat Kapoor  ,71792,740000
    The Secret in Their Eyes  ,2009,R,129," Drama, Mystery, Romance            ",8.2,80,    Juan Jos Campanella  ,      Ricardo Darn,   Soledad Villamil,   Pa lo Rago,   Carla Quevedo  ,194765,6390000
    Shutter Island  ,2010,R,138," Mystery, Thriller            ",8.2,63,    Martin Scorsese  ,      Leonardo DiCaprio,   Emily Mortimer,   Mark Ruffalo,   Ben Kingsley  ,1142487,128010000
    The Invisi le Guest  ,2016,TV-MA,106," Crime, Drama, Mystery            ",8.1,0,    Oriol Paulo  ,      Mario Casas,   Ana Wagener,   Jose Coronado,   Br ara Lennie  ,146638,0
    The Blue Elephant  ,2014,Not Rated,170," Drama, Horror, Mystery            ",8.1,0,    Marwan Hamed  ,      Karim A del Aziz,   Khaled El-Sawi,   Nelly Karim,   Muhammad Mamdooh  ,26770,0
    Gone Girl  ,2014,R,149," Drama, Mystery, Thriller            ",8.1,79,    David Fincher  ,      Ben Affleck,   Rosamund Pike,   Neil Patrick Harris,   Tyler Perry  ,869414,167770000
    Kahaani  ,2012,Not Rated,122," Mystery, Thriller            ",8.1,0,    Sujoy Ghosh  ,      Vidya Balan,   Param rata Chattopadhyay,   Indraneil Sengupta,   Nawazuddin Siddiqui  ,58107,1040000
    Prisoners  ,2013,R,153," Crime, Drama, Mystery            ",8.1,70,    Denis Villeneuve  ,      Hugh Jackman,   Jake Gyllenhaal,   Viola Davis,   Melissa Leo  ,607702,61000000
    A Wednesday  ,2008,Not Rated,104," Action, Crime, Drama            ",8.1,0,    Neeraj Pandey  ,      Anupam Kher,   Naseeruddin Shah,   Jimmy Sheirgill,   Aamir Bashir  ,74140,0
    Harry Potter and the Deathly Hallows: Part 2  ,2011,PG-13,130," Adventure, Drama, Fantasy            ",8.1,85,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Michael Gam on  ,771110,381010000
    Memories of Murder  ,2003,Not Rated,132," Crime, Drama, Mystery            ",8.1,82,    Bong Joon Ho  ,      Kang-ho Song,   Kim Sang-kyung,   Roe-ha Kim,   Jae-ho Song  ,142705,10000
    Zootopia  ,2016,PG,108," Animation, Adventure, Comedy            ",8.0,78,    Byron Howard   ,    Ginnifer Goodwin,   Jason Bateman,   Idris El a,     ,438001,341270000
    Blade Runner 2049  ,2017,R,164," Action, Drama, Mystery            ",8.0,81,    Denis Villeneuve  ,      Harrison Ford,   Ryan Gosling,   Ana de Armas,   Dave Bautista  ,468421,92050000
    Dar areye Elly  ,2009,TV-PG,119," Drama, Mystery            ",8.0,87,    Asghar Farhadi  ,         Golshifteh Farahani,     Shaha  Hosseini,     Taraneh Alidoosti,  Merila Zare    i ,46465,110000
    The Bourne Ultimatum  ,2007,PG-13,115," Action, Mystery, Thriller            ",8.0,85,    Paul Greengrass  ,      Matt Damon,   Edgar Ramrez,   Joan Allen,   Julia Stiles  ,606657,227470000
    Infernal Affairs  ,2002,R,101," Action, Crime, Drama            ",8.0,75,    Andrew Lau   ,       Andy Lau,   Tony Chiu-Wai Leung,   Anthony Chau-Sang Wong,   Eric Tsang    ,118302,170000
    Donnie Darko  ,2001,R,113," Drama, Mystery, Sci-Fi            ",8.0,88,    Richard Kelly  ,      Jake Gyllenhaal,   Jena Malone,   Mary McDonnell,   Holmes Os orne  ,744047,1480000
    Knives Out  ,2019,PG-13,130," Comedy, Crime, Drama            ",7.9,82,    Rian Johnson  ,      Daniel Craig,   Chris Evans,   Ana de Armas,   Jamie Lee Curtis  ,470649,165360000
