title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Your Name.  ,2016,PG,106," Animation, Drama, Fantasy            ",8.4,79,    Makoto Shinkai  ,      Rynosuke Kamiki,   Mone Kamishiraishi,   Ry Narita,   Aoi Yki  ,200314,5020000
    WALLE  ,2008,G,98," Animation, Adventure, Family            ",8.4,95,    Andrew Stanton  ,      Ben Burtt,   Elissa Knight,   Jeff Garlin,   Fred Willard  ,1007565,223810000
    Eternal Sunshine of the Spotless Mind  ,2004,R,108," Drama, Romance, Sci-Fi            ",8.3,89,    Michel Gondry  ,      Jim Carrey,   Kate Winslet,   Tom Wilkinson,   Gerry Ro ert Byrne  ,917947,34400000
    Amlie  ,2001,R,122," Comedy, Romance            ",8.3,69,    Jean-Pierre Jeunet  ,      Audrey Tautou,   Mathieu Kassovitz,   Rufus,   Lorella Cravotta  ,707853,33230000
    The Secret in Their Eyes  ,2009,R,129," Drama, Mystery, Romance            ",8.2,80,    Juan Jos Campanella  ,      Ricardo Darn,   Soledad Villamil,   Pa lo Rago,   Carla Quevedo  ,194765,6390000
    Portrait of a Lady on Fire  ,2019,R,122," Drama, Romance            ",8.1,95,    Cline Sciamma  ,      Nomie Merlant,   Adle Haenel,   Luna Bajrami,   Valeria Golino  ,66663,3760000
    A Silent Voice: The Movie  ,2016,Not Rated,130," Animation, Drama, Family            ",8.1,78,    Naoko Yamada  ,      Miyu Irino,   Saori Hayami,   Aoi Yki,   Kensh Ono  ,50395,0
    The Handmaiden  ,2016,Not Rated,145," Drama, Romance, Thriller            ",8.1,84,    Chan-wook Park  ,      Kim Min-hee,   Jung-woo Ha,   Cho Jin-woong,   So-ri Moon  ,116482,2010000
    Barfi!  ,2012,Not Rated,151," Comedy, Drama, Romance            ",8.1,0,    Anurag Basu  ,         Ran ir Kapoor,     Priyanka Chopra,  Ileana D    Cruz,     Saura h Shukla    ,76132,2800000
    Lage Raho Munna Bhai  ,2006,Not Rated,144," Comedy, Drama, Romance            ",8.1,0,    Rajkumar Hirani  ,      Sanjay Dutt,   Arshad Warsi,   Vidya Balan,   Boman Irani  ,43350,2220000
    Before Sunset  ,2004,R,80," Drama, Romance            ",8.1,90,    Richard Linklater  ,      Ethan Hawke,   Julie Delpy,   Vernon Do tcheff,   Louise Lemoine Torrs  ,238536,5820000
    Dil Chahta Hai  ,2001,Not Rated,183," Comedy, Drama, Romance            ",8.1,0,    Farhan Akhtar  ,      Aamir Khan,   Saif Ali Khan,   Akshaye Khanna,   Preity Zinta  ,67117,300000
    In the Mood for Love  ,2000,PG,98," Drama, Romance            ",8.1,85,    Kar-Wai Wong  ,         Tony Chiu-Wai Leung,     Maggie Cheung,     Ping Lam Siu,  Tung Cho     Joe     Cheung ,126192,2730000
    La La Land  ,2016,PG-13,128," Comedy, Drama, Music            ",8.0,94,    Damien Chazelle  ,      Ryan Gosling,   Emma Stone,   Rosemarie DeWitt,   J.K. Simmons  ,511752,151100000
    Gully Boy  ,2019,Not Rated,154," Drama, Music, Romance            ",8.0,65,    Zoya Akhtar  ,      Vijay Varma,   Nakul Roshan Sahdev,   Ranveer Singh,   Vijay Raaz  ,32351,5570000
    Her  ,2013,R,126," Drama, Romance, Sci-Fi            ",8.0,90,    Spike Jonze  ,      Joaquin Phoenix,   Amy Adams,   Scarlett Johansson,   Rooney Mara  ,545881,25570000
    The Perks of Being a Wallflower  ,2012,PG-13,103," Drama, Romance            ",8.0,67,    Stephen Ch osky  ,      Logan Lerman,   Emma Watson,   Ezra Miller,   Paul Rudd  ,465686,17740000
    Dev.D  ,2009,Not Rated,144," Drama, Romance            ",8.0,0,    Anurag Kashyap  ,      A hay Deol,   Mahie Gill,   Kalki Koechlin,   Di yendu Bhattacharya  ,28875,10000
    Slumdog Millionaire  ,2008,R,120," Drama, Romance            ",8.0,84,    Danny Boyle   ,       Dev Patel,   Freida Pinto,   Saura h Shukla,   Anil Kapoor    ,802552,141320000
    3-Iron  ,2004,R,88," Crime, Drama, Romance            ",8.0,72,    Kim Ki-duk  ,      Seung-Yun Lee,   Hee Jae,   Hyuk-ho Kwon,   Jin-mo Joo  ,51026,240000
"    Spring, Summer, Fall, Winter... and Spring  ",2003,R,103," Drama, Romance            ",8.0,85,    Kim Ki-duk  ,      Kim Ki-duk,   Yeong-su Oh,   Jong-ho Kim,   Kim Young-Min  ,77958,2380000
    Cinderella Man  ,2005,PG-13,144," Biography, Drama, History            ",8.0,69,    Ron Howard  ,      Russell Crowe,   Rene Zellweger,   Craig Bierko,   Paul Giamatti  ,177056,61650000
    Big Fish  ,2003,PG-13,125," Adventure, Drama, Fantasy            ",8.0,0,    Tim Burton  ,      Ewan McGregor,   Al ert Finney,   Billy Crudup,   Jessica Lange  ,417219,66260000
    My Sassy Girl  ,2001,Not Rated,137," Comedy, Drama, Romance            ",8.0,0,    Jae-young Kwak  ,      Tae-Hyun Cha,   Jun Ji-Hyun,   In-mun Kim,   Song Wok-suk  ,45574,0
    Marriage Story  ,2019,R,137," Comedy, Drama, Romance            ",7.9,94,    Noah Baum ach  ,      Adam Driver,   Scarlett Johansson,   Julia Greer,   Azhy Ro ertson  ,251997,2000000
    Call Me  y Your Name  ,2017,R,132," Drama, Romance            ",7.9,93,    Luca Guadagnino  ,      Armie Hammer,   Timothe Chalamet,   Michael Stuhl arg,   Amira Casar  ,217334,18100000
    Sing Street  ,2016,PG-13,106," Comedy, Drama, Music            ",7.9,79,    John Carney  ,      Ferdia Walsh-Peelo,   Aidan Gillen,   Maria Doyle Kennedy,   Jack Reynor  ,85859,3240000
    Before Midnight  ,2013,R,109," Drama, Romance            ",7.9,94,    Richard Linklater  ,      Ethan Hawke,   Julie Delpy,   Seamus Davey-Fitzpatrick,   Ariane La ed  ,142837,8110000
    The Artist  ,2011,PG-13,100," Comedy, Drama, Romance            ",7.9,89,    Michel Hazanavicius  ,      Jean Dujardin,   Brnice Bejo,   John Goodman,   James Cromwell  ,231656,44670000
    Amour  ,2012,PG-13,127," Drama, Romance            ",7.9,94,    Michael Haneke  ,      Jean-Louis Trintignant,   Emmanuelle Riva,   Isa elle Huppert,   Alexandre Tharaud  ,93734,6740000
    Let the Right One In  ,2008,R,114," Crime, Drama, Fantasy            ",7.9,82,    Tomas Alfredson  ,      Kre Hede rant,   Lina Leandersson,   Per Ragnar,   Henrik Dahl  ,206369,2120000
    Ja  We Met  ,2007,Not Rated,138," Comedy, Drama, Romance            ",7.9,0,    Imtiaz Ali  ,      Shahid Kapoor,   Kareena Kapoor,   Tarun Arora,   Dara Singh  ,48003,410000
    Kal Ho Naa Ho  ,2003,Not Rated,186," Comedy, Drama, Musical            ",7.9,0,    Nikkhil Advani  ,      Preity Zinta,   Shah Rukh Khan,   Saif Ali Khan,   Jaya Bachchan  ,63784,1790000
    Head-On  ,2004,R,121," Drama, Romance            ",7.9,78,    Fatih Akin  ,      Birol nel,   Si el Kekilli,   Gven Kira,   Zarah Jane McKenzie  ,51554,0
    Talk to Her  ,2002,R,112," Drama, Mystery, Romance            ",7.9,86,    Pedro Almodvar  ,      Rosario Flores,   Javier Cmara,   Daro Grandinetti,   Leonor Watling  ,105142,9280000
    Little Women  ,2019,PG,135," Drama, Romance            ",7.8,91,    Greta Gerwig  ,      Saoirse Ronan,   Emma Watson,   Florence Pugh,   Eliza Scanlen  ,147949,108100000
    Pride  ,2014,R,119," Biography, Comedy, Drama            ",7.8,79,    Matthew Warchus  ,      Bill Nighy,   Imelda Staunton,   Dominic West,   Paddy Considine  ,52333,0
    The Lunch ox  ,2013,PG,104," Drama, Romance            ",7.8,76,    Ritesh Batra  ,      Irrfan Khan,   Nimrat Kaur,   Nawazuddin Siddiqui,   Lillete Du ey  ,50946,4230000
    Vicky Donor  ,2012,Not Rated,126," Comedy, Romance            ",7.8,0,    Shoojit Sircar  ,      Ayushmann Khurrana,   Yami Gautam,   Annu Kapoor,   Dolly Ahluwalia  ,39888,170000
    A out Time  ,2013,R,123," Comedy, Drama, Fantasy            ",7.8,0,    Richard Curtis  ,      Domhnall Gleeson,   Rachel McAdams,   Bill Nighy,   Lydia Wilson  ,307335,15320000
    The Wind Rises  ,2013,PG-13,126," Animation, Biography, Drama            ",7.8,83,    Hayao Miyazaki  ,      Hideaki Anno,   Hidetoshi Nishijima,   Miori Takimoto,   Masahiko Nishimura  ,74713,5210000
    The Best Offer  ,2013,R,131," Crime, Drama, Mystery            ",7.8,0,    Giuseppe Tornatore  ,      Geoffrey Rush,   Jim Sturgess,   Sylvia Hoeks,   Donald Sutherland  ,109390,90000
    Moonrise Kingdom  ,2012,PG-13,94," Comedy, Drama, Romance            ",7.8,84,    Wes Anderson  ,      Jared Gilman,   Kara Hayward,   Bruce Willis,   Bill Murray  ,321263,45510000
    Once  ,2007,R,86," Drama, Music, Romance            ",7.8,88,    John Carney  ,      Glen Hansard,   Markta Irglov,   Hugh Walsh,   Gerard Hendrick  ,111150,9440000
    Atonement  ,2007,R,123," Drama, Mystery, Romance            ",7.8,85,    Joe Wright  ,      Keira Knightley,   James McAvoy,   Brenda Blethyn,   Saoirse Ronan  ,253640,50930000
    Mr. No ody  ,2009,R,141," Drama, Fantasy, Romance            ",7.8,63,    Jaco Van Dormael  ,      Jared Leto,   Sarah Polley,   Diane Kruger,   Linh Dan Pham  ,217856,0
    The Curious Case of Benjamin Button  ,2008,PG-13,166," Drama, Fantasy, Romance            ",7.8,70,    David Fincher  ,      Brad Pitt,   Cate Blanchett,   Tilda Swinton,   Julia Ormond  ,593581,127510000
    Veer-Zaara  ,2004,Not Rated,192," Drama, Family, Musical            ",7.8,67,    Yash Chopra  ,      Shah Rukh Khan,   Preity Zinta,   Rani Mukerji,   Kirron Kher  ,49363,2920000
    Pride & Prejudice  ,2005,PG,129," Drama, Romance            ",7.8,82,    Joe Wright  ,      Keira Knightley,   Matthew Macfadyen,   Brenda Blethyn,   Donald Sutherland  ,261908,38410000
    Walk the Line  ,2005,PG-13,136," Biography, Drama, Music            ",7.8,72,    James Mangold  ,      Joaquin Phoenix,   Reese Witherspoon,   Ginnifer Goodwin,   Ro ert Patrick  ,235538,119520000
    The Note ook  ,2004,PG-13,123," Drama, Romance            ",7.8,0,    Nick Cassavetes  ,      Gena Rowlands,   James Garner,   Rachel McAdams,   Ryan Gosling  ,524454,81000000
"    Crouching Tiger, Hidden Dragon  ",2000,PG-13,120," Action, Adventure, Fantasy            ",7.8,94,    Ang Lee  ,      Yun-Fat Chow,   Michelle Yeoh,   Ziyi Zhang,   Chen Chang  ,254526,128080000
    Cast Away  ,2000,PG-13,143," Adventure, Drama, Romance            ",7.8,73,    Ro ert Zemeckis  ,      Tom Hanks,   Helen Hunt,   Paul Sanchez,   Lari White  ,528567,233630000
    God' s Own Country  ,2017,Not Rated,104," Drama, Romance            ",7.7,85,    Francis Lee  ,      Josh O    Connor,     Alec Secareanu,     Gemma Jones,     Ian Hart    ,25708,340000
    A Man Called Ove  ,2015,PG-13,116," Comedy, Drama, Romance            ",7.7,70,    Hannes Holm  ,      Rolf Lassgrd,   Bahar Pars,   Filip Berg,   Ida Engvoll  ,48092,3360000
    The Theory of Everything  ,2014,PG-13,123," Biography, Drama, Romance            ",7.7,72,    James Marsh  ,      Eddie Redmayne,   Felicity Jones,   Tom Prior,   Sophie Perry  ,407896,35890000
    The Fault in Our Stars  ,2014,PG-13,126," Drama, Romance            ",7.7,69,    Josh Boone  ,      Shailene Woodley,   Ansel Elgort,   Nat Wolff,   Laura Dern  ,346459,124870000
    Blue Is the Warmest Colour  ,2013,NC-17,180," Drama, Romance            ",7.7,89,    A dellatif Kechiche  ,      La Seydoux,   Adle Exarchopoulos,   Salim Kechiouche,   Aurlien Recoing  ,139757,2200000
    The Broken Circle Breakdown  ,2012,Not Rated,111," Drama, Music, Romance            ",7.7,70,    Felix van Groeningen  ,      Veerle Baetens,   Johan Helden ergh,   Nell Cattrysse,   Geert Van Rampel erg  ,39580,180000
    Rockstar  ,2011,Not Rated,159," Drama, Music, Musical            ",7.7,0,    Imtiaz Ali  ,      Ran ir Kapoor,   Nargis Fakhri,   Shammi Kapoor,   Kumud Mishra  ,39773,990000
    Midnight in Paris  ,2011,PG-13,94," Comedy, Fantasy, Romance            ",7.7,81,    Woody Allen  ,      Owen Wilson,   Rachel McAdams,   Kathy Bates,   Kurt Fuller  ,390680,56820000
    Silver Linings Play ook  ,2012,R,122," Comedy, Drama, Romance            ",7.7,81,    David O. Russell  ,      Bradley Cooper,   Jennifer Lawrence,   Ro ert De Niro,   Jacki Weaver  ,665463,132090000
    500 Days of Summer  ,2009,PG-13,95," Comedy, Drama, Romance            ",7.7,76,    Marc We    ,      Zooey Deschanel,   Joseph Gordon-Levitt,   Geoffrey Arend,   Chlo Grace Moretz  ,474830,32390000
