title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Dark Knight  ,2008,PG-13,152," Action, Crime, Drama            ",9.0,84,    Christopher Nolan  ,      Christian Bale,   Heath Ledger,   Aaron Eckhart,   Michael Caine  ,2321573,534860000
    Inception  ,2010,PG-13,148," Action, Adventure, Sci-Fi            ",8.8,74,    Christopher Nolan  ,      Leonardo DiCaprio,   Joseph Gordon-Levitt,   Elliot Page,   Ken Watana e  ,2085470,292580000
    Parasite  ,2019,R,132," Comedy, Drama, Thriller            ",8.6,96,    Bong Joon Ho  ,      Kang-ho Song,   Lee Sun-kyun,   Cho Yeo-jeong,   Choi Woo-sik  ,575451,53370000
    Raatchasan  ,2018,Not Rated,170," Action, Crime, Thriller            ",8.5,0,    Ram Kumar  ,      Vishnu Vishal,   Amala Paul,   Radha Ravi,   Sangili Murugan  ,26123,0
    The Prestige  ,2006,PG-13,130," Drama, Mystery, Sci-Fi            ",8.5,66,    Christopher Nolan  ,      Christian Bale,   Hugh Jackman,   Scarlett Johansson,   Michael Caine  ,1200476,53090000
    The Departed  ,2006,R,151," Crime, Drama, Thriller            ",8.5,85,    Martin Scorsese  ,      Leonardo DiCaprio,   Matt Damon,   Jack Nicholson,   Mark Wahl erg  ,1199471,132380000
    Joker  ,2019,R,122," Crime, Drama, Thriller            ",8.4,0,    Todd Phillips  ,      Joaquin Phoenix,   Ro ert De Niro,   Zazie Beetz,   Frances Conroy  ,961966,335450000
    Vikram Vedha  ,2017,Not Rated,147," Action, Crime, Drama            ",8.4,0,    Gayatri   ,       Madhavan,   Vijay Sethupathi,   Shraddha Srinath,   Kathir    ,29120,0
    Drishyam  ,2013,Not Rated,160," Crime, Drama, Thriller            ",8.4,0,    Jeethu Joseph  ,      Mohanlal,   Meena,   Asha Sharath,   Ansi a  ,33529,0
    The Lives of Others  ,2006,R,137," Drama, Mystery, Thriller            ",8.4,89,    Florian Henckel von Donnersmarck  ,      Ulrich Mhe,   Martina Gedeck,   Se astian Koch,   Ulrich Tukur  ,361559,11290000
    Old oy  ,2003,R,120," Action, Drama, Mystery            ",8.4,77,    Chan-wook Park  ,      Choi Min-sik,   Yoo Ji-Tae,   Kang Hye-jeong,   Kim Byeong-Ok  ,520020,710000
    Memento  ,2000,R,113," Mystery, Thriller            ",8.4,80,    Christopher Nolan  ,      Guy Pearce,   Carrie-Anne Moss,   Joe Pantoliano,   Mark Boone Junior  ,1133403,25540000
1917,2019,R,119," Drama, Thriller, War            ",8.3,78,    Sam Mendes  ,      Dean-Charles Chapman,   George MacKay,   Daniel Mays,   Colin Firth  ,441563,159230000
    Tum  ad  ,2018,Not Rated,104," Drama, Fantasy, Horror            ",8.3,0,    Rahi Anil Barve   ,    Sohum Shah,   Jyoti Malshe,   Anita Date,     ,28617,0
    Andhadhun  ,2018,Not Rated,139," Crime, Drama, Music            ",8.3,0,    Sriram Raghavan  ,      Ayushmann Khurrana,   Ta u,   Radhika Apte,   Anil Dhawan  ,73465,1370000
    Talvar  ,2015,Not Rated,132," Crime, Drama, Mystery            ",8.2,0,    Meghna Gulzar  ,      Irrfan Khan,   Konkona Sen Sharma,   Neeraj Ka i,   Sohum Shah  ,31393,340000
    Drishyam  ,2015,Not Rated,163," Crime, Drama, Mystery            ",8.2,0,    Nishikant Kamat  ,      Ajay Devgn,   Shriya Saran,   Ta u,   Rajat Kapoor  ,71792,740000
    Gangs of Wasseypur  ,2012,Not Rated,321," Action, Comedy, Crime            ",8.2,89,    Anurag Kashyap  ,      Manoj Bajpayee,   Richa Chadha,   Nawazuddin Siddiqui,   Tigmanshu Dhulia  ,83171,0
    Paan Singh Tomar  ,2012,Not Rated,135," Action, Biography, Crime            ",8.2,0,    Tigmanshu Dhulia  ,      Irrfan Khan,   Mahie Gill,   Rajesh A hay,   Hemendra Dandotiya  ,33401,40000
    The Secret in Their Eyes  ,2009,R,129," Drama, Mystery, Romance            ",8.2,80,    Juan Jos Campanella  ,      Ricardo Darn,   Soledad Villamil,   Pa lo Rago,   Carla Quevedo  ,194765,6390000
    Shutter Island  ,2010,R,138," Mystery, Thriller            ",8.2,63,    Martin Scorsese  ,      Leonardo DiCaprio,   Emily Mortimer,   Mark Ruffalo,   Ben Kingsley  ,1142487,128010000
    V for Vendetta  ,2005,R,132," Action, Drama, Sci-Fi            ",8.2,62,    James McTeigue  ,      Hugo Weaving,   Natalie Portman,   Rupert Graves,   Stephen Rea  ,1038925,70510000
