title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Mountain II  ,2016,0,135," Action, Drama, War            ",8.8,0,    Alper Caglar  ,      Caglar Ertugrul,   Ufuk Bayraktar,   Ahu Trkpene,   Murat Serezli  ,105481,0
    The Pianist  ,2002,R,150," Biography, Drama, Music            ",8.5,85,    Roman Polanski  ,      Adrien Brody,   Thomas Kretschmann,   Frank Finlay,   Emilia Fox  ,737237,32570000
    Ayla: The Daughter of War  ,2017,0,125," Biography, Drama, History            ",8.4,0,    Can Ulkay  ,      etin Tekindor,   Ismail Hacioglu,   Kyung-jin Lee,   Kim Seol  ,34676,0
    Dara of Jasenovac  ,2020,R,130," Drama, War            ",8.4,0,    Predrag Antonijevic  ,      Biljana Cekic,   Zlatan Vidovic,   Anja Stanic,   Luka Saranovic  ,33621,0
1917,2019,R,119," Drama, Thriller, War            ",8.3,78,    Sam Mendes  ,      Dean-Charles Chapman,   George MacKay,   Daniel Mays,   Colin Firth  ,441563,159230000
    Incendies  ,2010,R,131," Drama, Mystery, War            ",8.3,80,    Denis Villeneuve  ,      Lu na Aza al,   Mlissa Dsormeaux-Poulin,   Maxim Gaudette,   Mustafa Kamel  ,152272,6860000
    Inglourious Basterds  ,2009,R,153," Adventure, Drama, War            ",8.3,69,    Quentin Tarantino  ,      Brad Pitt,   Diane Kruger,   Eli Roth,   Mlanie Laurent  ,1279949,120540000
    Uri: The Surgical Strike  ,2018,Not Rated,138," Action, Drama, War            ",8.2,0,    Aditya Dhar  ,      Vicky Kaushal,   Paresh Rawal,   Mohit Raina,   Yami Gautam  ,43920,4190000
    Tangerines  ,2013,Not Rated,87," Drama, War            ",8.2,73,    Zaza Urushadze  ,      Lem it Ulfsak,   Elmo Nganen,   Giorgi Nakashidze,   Misha Meskhi  ,41285,140000
    Pan' s La yrinth  ,2006,R,118," Drama, Fantasy, War            ",8.2,98,    Guillermo del Toro  ,      Ivana Baquero,   Ariadna Gil,   Sergi Lpez,   Mari el Verd  ,622331,37630000
    Downfall  ,2004,R,156," Biography, Drama, History            ",8.2,82,    Oliver Hirsch iegel  ,      Bruno Ganz,   Alexandra Maria Lara,   Ulrich Matthes,   Juliane Khler  ,333344,5510000
    Hacksaw Ridge  ,2016,R,139," Biography, Drama, History            ",8.1,71,    Mel Gi son  ,      Andrew Garfield,   Sam Worthington,   Luke Bracey,   Teresa Palmer  ,441580,67210000
    Hotel Rwanda  ,2004,PG-13,121," Biography, Drama, History            ",8.1,79,    Terry George  ,      Don Cheadle,   Sophie Okonedo,   Joaquin Phoenix,   Xolani Mali  ,336061,23530000
    Tae Guk Gi: The Brotherhood of War  ,2004,R,140," Action, Drama, War            ",8.1,64,    Je-kyu Kang  ,      Jang Dong-Gun,   Won Bin,   Eun-ju Lee,   Hyeong-jin Kong  ,37957,1110000
    The Imitation Game  ,2014,PG-13,114," Biography, Drama, Thriller            ",8.0,73,    Morten Tyldum  ,      Benedict Cum er atch,   Keira Knightley,   Matthew Goode,   Allen Leech  ,691023,91130000
    The Breath  ,2009,0,128," Action, Drama, Thriller            ",8.0,0,    Levent Semerci   ,       Mete Horozoglu,   Ilker Kizmaz,   Baris Bagci,   zgr Eren Ko    ,31995,0
    Persepolis  ,2007,PG-13,96," Animation, Biography, Drama            ",8.0,90,    Vincent Paronnaud   ,       Chiara Mastroianni,   Catherine Deneuve,   Gena Rowlands,   Danielle Darrieux    ,89132,4450000
    Jojo Ra  it  ,2019,PG-13,108," Comedy, Drama, War            ",7.9,0,    Taika Waititi  ,      Roman Griffin Davis,   Thomasin McKenzie,   Scarlett Johansson,   Taika Waititi  ,306878,350000
    Letters from Iwo Jima  ,2006,R,141," Action, Adventure, Drama            ",7.9,89,    Clint Eastwood  ,      Ken Watana e,   Kazunari Ninomiya,   Tsuyoshi Ihara,   Ry Kase  ,154567,13760000
    No Man' s Land  ,2001,R,98," Comedy, Drama, War            ",7.9,84,    Danis Tanovic  ,      Branko Djuric,   Rene Bitorajac,   Filip Sovagovic,   Georges Siatidis  ,44906,1060000
    Dunkirk  ,2017,PG-13,106," Action, Drama, History            ",7.8,94,    Christopher Nolan  ,      Fionn Whitehead,   Barry Keoghan,   Mark Rylance,   Tom Hardy  ,562406,188370000
    Land of Mine  ,2015,R,100," Drama, History, War            ",7.8,75,    Martin Zandvliet  ,      Roland Mller,   Louis Hofmann,   Joel Basman,   Mikkel Boe Flsgaard  ,36056,440000
    The Wind Rises  ,2013,PG-13,126," Animation, Biography, Drama            ",7.8,83,    Hayao Miyazaki  ,      Hideaki Anno,   Hidetoshi Nishijima,   Miori Takimoto,   Masahiko Nishimura  ,74713,5210000
