title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Django Unchained  ,2012,R,165," Drama, Western            ",8.4,81,    Quentin Tarantino  ,      Jamie Foxx,   Christoph Waltz,   Leonardo DiCaprio,   Kerry Washington  ,1370463,162810000
    The Revenant  ,2015,R,156," Action, Adventure, Drama            ",8.0,76,    Alejandro G. Irritu  ,      Leonardo DiCaprio,   Tom Hardy,   Will Poulter,   Domhnall Gleeson  ,712248,183640000
    The Hateful Eight  ,2015,R,168," Crime, Drama, Mystery            ",7.8,68,    Quentin Tarantino  ,      Samuel L. Jackson,   Kurt Russell,   Jennifer Jason Leigh,   Walton Goggins  ,522776,54120000
    3:10 to Yuma  ,2007,R,122," Action, Crime, Drama            ",7.7,76,    James Mangold  ,      Russell Crowe,   Christian Bale,   Ben Foster,   Logan Lerman  ,290627,53610000
    Hell or High Water  ,2016,R,102," Action, Crime, Drama            ",7.6,88,    David Mackenzie  ,      Chris Pine,   Ben Foster,   Jeff Bridges,   Gil Birmingham  ,205924,26860000
    True Grit  ,2010,PG-13,110," Drama, Western            ",7.6,80,    Ethan Coen   ,       Jeff Bridges,   Matt Damon,   Hailee Steinfeld,   Josh Brolin    ,313969,171240000
    The Assassination of Jesse James  y the Coward Ro ert Ford  ,2007,R,160," Biography, Crime, Drama            ",7.5,68,    Andrew Dominik  ,      Brad Pitt,   Casey Affleck,   Sam Shepard,   Mary-Louise Parker  ,170370,3900000
    Yahsi Bati - The Ottoman Cow oys  ,2009,0,112," Adventure, Comedy, Fantasy            ",7.4,0,    mer Faruk Sorak  ,      Cem Yilmaz,   Ozan Gven,   Demet Evgar,   Zafer Algz  ,32406,0
    The Three Burials of Melquiades Estrada  ,2005,R,121," Adventure, Crime, Drama            ",7.4,77,    Tommy Lee Jones  ,      Tommy Lee Jones,   Barry Pepper,   Dwight Yoakam,   January Jones  ,38986,5020000
    Open Range  ,2003,R,139," Action, Drama, Romance            ",7.4,67,    Kevin Costner  ,      Kevin Costner,   Ro ert Duvall,   Diego Luna,   A raham Benru i  ,67126,58330000
    The Ballad of Buster Scruggs  ,2018,R,133," Comedy, Drama, Musical            ",7.3,79,    Ethan Coen   ,       Tim Blake Nelson,   Willie Watson,   Clancy Brown,   Danny McCarthy    ,124690,0
    The Good the Bad the Weird  ,2008,R,130," Action, Adventure, Comedy            ",7.3,69,    Jee-woon Kim  ,      Kang-ho Song,   Lee Byung-Hun,   Jung Woo-sung,   Je-mun Yun  ,33585,130000
    The Proposition  ,2005,R,104," Crime, Drama, Western            ",7.3,73,    John Hillcoat  ,      Ray Winstone,   Guy Pearce,   Emily Watson,   Richard Wilson  ,50470,1900000
    Hostiles  ,2017,R,134," Drama, Western            ",7.2,65,    Scott Cooper  ,      Scott Shepherd,   Rosamund Pike,   Ava Cooper,   Stella Cooper  ,72909,29820000
    Rango  ,2011,PG,107," Animation, Adventure, Comedy            ",7.2,75,    Gore Ver inski  ,      Johnny Depp,   Isla Fisher,   Timothy Olyphant,   A igail Breslin  ,238846,123480000
    Spirit: Stallion of the Cimarron  ,2002,G,83," Animation, Adventure, Drama            ",7.2,0,    Kelly As ury   ,       Matt Damon,   James Cromwell,   Daniel Studi,   Chopper Bernet    ,66246,73280000
    Bone Tomahawk  ,2015,Not Rated,132," Drama, Horror, Western            ",7.1,72,    S. Craig Zahler  ,      Kurt Russell,   Patrick Wilson,   Matthew Fox,   Richard Jenkins  ,87758,0
    Brimstone  ,2016,R,148," Drama, Mystery, Thriller            ",7.1,0,    Martin Koolhoven  ,      Guy Pearce,   Dakota Fanning,   Emilia Jones,   Carice van Houten  ,36950,0
    The Sisters Brothers  ,2018,R,122," Crime, Drama, Western            ",7.0,78,    Jacques Audiard  ,      John C. Reilly,   Joaquin Phoenix,   Jake Gyllenhaal,   Riz Ahmed  ,55329,3140000
